skyabs 'gro	kyam dro
dga' ldan	gan den
rgyal rtse	gyan tsé
chab mdo	cham do
rta mgrin	tam drin
rten 'brel	tem drel
rdo rje	dor jé
bla brang	la brang
'bras ljongs	dren jong
'bri ru	bi ru
sbra nag zhol	ba nak zhöl
lam 'bras	lam dré
lha rje	lhar jé
lha bris pa	lha pri pa
a mdo	am do
u rgyan	ur gyen
o rgyan	or gyen
mchod rten	chör ten
b+h+rUM	dhrum
pa d+ma	pe ma
pad+ma	pema
sarba	sar ba
