dbu ma'i lam|The Middle Way, the Middle Path\n(a Buddhist term; also used for the CTA’s official policy of seeking Tibetan autonomy within China, rather than full Tibetan independence and sovereignty)
g.yo sgyu khram gsum|{g.yo} = hiding one’s faults\n{sgyu} = exaggerating one’s qualities\n{khram} = lying, or trying to act bigger than one really is
ham shedad|putting on a show of power, or having no laws or propriety
da mus bzhin|currently(?)
mtha' skyel byed|to take to the end (?)
tsha brgyud|lineage(?)
dpe ma srid|very
khrims bsher|trial\ncf. {khrims zhib}
gzhan du brdzus|to disguise oneself
gsang thon byed|to slip away, to escape in secret
rkyen rtsa|catalyst, trigger
me mdel|bombardment
me mdel 'phangs|to bombard
'grig 'jags|an agreement
'grig 'jags yong|to come to an agreement\ne.g. {khong tsho dang 'grig 'jags yong ba/} “to come to an agreement with them”
gtor skyon bzo|to cause destruction
skyo gdung|sad, sorrowful
thag gcod|to decide; to reach a resolution
ngo bo|identity\ne.g. {bod kyi ngo bo} “Tibetan identity”\nIn grammar, it is said that nouns indicate the {ngo bo} (identity) of a thing, whereas adjectives indicate its {khyad par} (qualities).
dbang sgyur ba|ruler
rnam pa|expression\ncf. {tshor snang}, {rnam 'gyur}
tshor snang|expression\ncf. {rnam pa}, {rnam 'gyur}
rnam 'gyur|expression\ncf. {tshor snang}, {rnam pa}
brtan lhing|stability (e.g. political stability)
gcig 'gyur|integrity, being one\ne.g. {sa khongs gcig 'gyur} “territorial integrity”
rim byung|succession
'brel gtugs|relationship
byung ba|an event
byung ba brjod pa|an account of an event
sems khur can|sympathetic
'bod skul|appeal, request
gson gnas|1) living (adj.)\n2) survival (n.)
gson gnas thub|to be able to survive
'gag rtsar slebs|to reach a critical point, to reach a turning point
'brel lam byed|to engage, interact\n(object in {dang})
gtan khel byung|to be formalized, finalized
nam 'tsho'i ring|as long as one lives
rin thang|value, both as in “worth” and as in “a person’s values”
dam zab tu btang|to deepen (e.g. a relationship)
brtsi mthong|appreciation
bskul ded btang|to encourage
dngos mthong thub pa|visible, perceptible; tangible (when used figuratively, e.g. “tangible results”)
zhabs 'degs|contribution
pho rog dkar po|the odd one out, the black sheep\n(literally “the white raven”)
drung 'phar|Additional Secretary (a particular type of role in the CTA)
gtso gras|key, essential
bod rang ljongs|short for {bod rang skyong ljongs}
bkra shis 'dzoms|Tashi Dzom (Ch. 扎西宗 Zhāxīzōng), a township (Tib. {yul tsho} or {shang}, the latter being from the Chinese 乡 xiāng) in Dingri County
dpe leb|The name of a town in Tashi Dzom ({bkra shis 'dzoms}) township in Dingri County
tshan pa|department
rnam grangs kyi thob skal|welfare benefits? (not sure)
'bul lam zhu|to offer (e.g. a prize)
drag char rlung 'tshub|hurricane / cyclone / typhoon; severe thunderstorm
sprin pa gyes thor|cloudburst
rgyal sras dad pa brtan pa|Prince Dhepa Tenpa, the name of a Tibetan opera
lha gzhung|Tibetan opera
'jar ma ni|Germany
gsang nyul byed|to spy\ncf. {gsang myul}
shin cang|Xinjiang
rtsam pa za ma Ni grangs byed mkhan|Tsampa eaters and Mani reciters, i.e. Tibetan people.\ncf. {rtsam pa za ma Ni bgrang mkhan}
rtsam pa za ma Ni bgrang mkhan|Tsampa eaters and Mani reciters, i.e. Tibetan people.\ncf. {rtsam pa za ma Ni grangs byed mkhan}
man spar phan bde gling|Mainpat Phendeyling
a ru nA cal|Arunachal (Pradesh)
dad ldan pa|devotee
mon g+ho 'dod rgu gling|Mungod Tibetan Settlement
kar gyil|Kargyil, in Ladakh
di mA pur|Dimapur, in Nagaland
'tshams 'dri|1) greetings\n2) congratulations
'tshams 'dri mdzad|1) to greet (H)\n2) to congratulate (H)
'brug rgyal khab|Bhutan
spyi dmangs|civilian
o si To li ya|Australia
phyi dril las khungs|Department of Information and Internal Relations (DIIR) in the CTA
nga dgu|1) 59\n2) 1959, i.e. the 1959 Tibetan uprising
bsdu ba|Samhita (“compendium”), e.g. {tsa ra ka'i bsdu ba} Caraka Samhita
phyi mor grags pa|?
bod rgya'i dka' rnyog sel thabs kyi khrims 'char|Resolve Tibet Act
brgyud rim|journey
spro tshogs|concert
spyi 'thus|Chithue; a parliamentarian / Member of Parliament in the Central Tibetan Administration
ji ni wa|Geneva
dus bkag|periodic
skong tshogs|meeting, conference\ncf. {bskong tshogs}
bskong tshogs|meeting, conference\ncf. {skong tshogs}
skong tshogs byed|to meet\ncf. {bskong tshogs byedad}
bskong tshogs byed|to meet\ncf. {skong tshogs byed}
skong tshogs gnang|to meet (h)\ncf. {bskong tshogs gnang}
bskong tshogs gnang|to meet (h)\ncf. {skong tshogs gnang}
sbyor sprod gnang|to provide, to supply
sbyor sprod|supply
byang chub chen po'i mchod rten rin po che|Mahabodhi Temple, in Bodhi Gaya
gnas gzigs mdzad|to make a pilgrimage (H), to visit religious sites\ncf. {gnas mjal}
brag dkar bkra shis ldings|Drakkar Tashiding temple, the most sacred site in Sikkim
nub b+heng g+hal|West Bengal
mdzad 'phrin|Dharma teachings
mdzad 'phrin skyong|to give Dharma teachings
chibs thon mdzad|to leave (H)
nus stobs gong spel|empowerment\ne.g. {bud med nus stobs gong spel} “female empowerment”
mdun lam|the future (of a person or thing — lit. “the path forward”)
bka' nan stsol|to urge (H)\ncf. {nan skul}, {'bod skul}
rgan gras|senior
slob zur|alumnus
ched sgrig las rim|a feature program (in the news)\ncf. {dmigs bsal las rim}
dmigs bsal las rim|a special feature (in the news)\ncf. {ched sgrig las rim}
tshogs pa|1) group\n2) organization\n3) troupe\n4) (political) party
gzhis sgar|settlement, community; often used to refer to Tibetan settlements in Exile\ncf. {gzhis chags}
rub sdod gzhis sgar|“compact community”, part of the CTA’s “Building Back Compact Community” (BBCC) project, where Tibetans are housed in compact Tibetan communities in Exile to help preserve Tibetan culture, instead of everyone being spread out and disconnected.
gzhis chags|settlement; often used to refer to Tibetan settlements in Exile\ncf. {gzhis sgar}
gzigs stangs|view, opinion
mi ser|citizen, citizenship
khrig se|Thiksey (name of a monastery in Ladakh)
gdong len|challenge
'brel lam|relations (e.g. between countries)
skor bskyod|tour\ncf. {skor skyod}
skor skyod|tour\ncf. {skor bskyod}
gzig rgyab|Zeekgyap (as in Zeekgyap Rinpoche, a tulku)
grong sde'i spyi khyab pa|mayor
bsko 'dzugs gnang|to form (a committee etc.)
zin bris tshogs chung|a Drafting Committee
rtsis lo|financial year
gros chod|a motion (in parliament)
spyi mos kyis|unanimously
spyi mos thog|unanimously
spyi mos|unanimous
d+he ra rdun|Dehradun
'thus shor|a shortcoming, a failing, an inadequacy\n(+ {'gro}, {btang})
'thus shor 'gro|to deteriorate (lit. “to become inadequate”)
'thus shor btang|to deteriorate (lit. “to make inadequate”)
sku phywa|health (H)\ncf. {sku cha}
bros byol|escape into exile
sban da ra|Bhandara
srid spyi gnyis|the {srid skyong} Sikyong and {spyi 'thus}Chithue (i.e. the Tibetan president-in-exile and MPs-in-exile)
pho long|soccer; European football\n(note: the usual word for this is {rkang rtsed spo lo})
chos 'brel|a Dharma teaching
mjug sgril byung|to conclude, to end
mjug sgril gnang|to conclude, to end
mi tshogs 'du 'dzoms|a social gathering
no sbel|Nobel
'bul bzhes|conferral
'bul bzhes mdzad|to confer
bgrang bya|1) time;\n2) year.\n(Literally: “that which is counted”)
dus ston|anniversary event\nFormat: “{{lo}/{bgrang bya}}[number]{'khor ba'i dus ston}” = “the [number]th anniversary”\ne.g. {bgrang bya} {33} {'khor ba'i dus ston} the 33rd anniversary
srid don nyes chad|sanction
srid don nyes chad btang|to sanction
mtshan rtags bsdu rub|gathering signatures
gdung sems mnyam bskyed|1) solidarity\n2) sympathy
gdung sems mnyam bskyed gnang|to show solidarity
shog dkar las 'gul|White Paper Protests; White Paper Revolution\n(when Chinese people held up blank signs during COVID to protest the government safely)\nSee also {shog bu dkar po'i sger langs}
shog bu dkar po'i sger langs|White Paper Protests\nSee also {shog dkar las 'gul}
sger spyod ring lugs|authoritarianism
mi gcig dbang sgyur ring lugs|authoritarianism
mi gcig dbang 'dzin ring lugs|authoritarianism
dbang cha gcig bsdus lam lugs|authoritarianism
bca' sdod slob grwa|boarding school
bla sman|physician (e.g. of HHDL)
sku|the word {\u0f38sku} is used to refer to His Holiness the Dalai Lama when talking about things that belong to him or people connected to him, such as his birthday ({\u0f38sku'i 'khrungs skar}), his physician ({\u0f38sku'i bla sman}), or his translator ({\u0f38sku'i gsung sgyur}({ba}))
sa 'du tshang|Sadhutsang, the personal physician of His Holiness the Dalai Lama
bstan bdag bla chen|religious leader
dka' sdug|suffering
dka' sdug myongang|to suffer
gzhis lus|at home (i.e. not abroad)\ne.g. {gzhis lus bod mi} Tibetans in Tibet
gzhis byes|at home ({gzhis}) and abroad ({byes}). Used to refer to the Tibetan community in Tibet and in Exile, respectively.
dpal 'byor|1) economy\n2) finance
rgyun skyong gnang|to continue
phyir thon|exit, leave, bowing out, withdrawal
phyir thon byed|to exit, leave, bow out, withdraw
phyir thon gnang|to exit, leave, bow out, withdraw (h)
tshogs seng|adjournment
tshogs seng bzhag|to adjourn
tshogs seng gnang|to adjourn
bod rig pa|Tibetology
mnyam las gnang|to cooperate (h)
ngal 'phrad|closing the door to something, restricting something, encountering a a barrier to something, discouraging something; facing problems, encountering difficulty (cf. {dka' ngal 'phrad})
brda 'phrin|digital
brda 'phrin dus skabs|the Digital Age
bskyangs gnang|visit (H)
bskyangs gnang mdzad|to visit (H)
mdzad 'char|schedule, program (H)
bka' 'dri|interview (h)\nNon-honorific: {bcar 'dri}
bcar 'dri|interview\nHonorific: {bka' 'dri}
shugs rkyen|impact, repercussion
chos zhu ba|devotee
bkrin|abbreviation for {bka' drin}, which means “kindness” (H)
bka' drin|1) kindness\n2) anniversary
ma byan chen mo|chef
khe na Da|Canada
thu+ong|abbreviation for {thun mong}, which means “common” or “shared”
spon Ta|Paonta
bu+ed|abbreviation for {bud med}, which means “woman”
rkang spol|soccer, European football\n(abbreviation of {rkang rtsed spo lo})
bka' blon khri zur|Kalon Trisur, the title for a former Kalon Tripa. “Sur” means “former”.
mdzad rjes|legacy
bskyar sring|a “re-broadcast”, i.e. a replay of a previously recorded broadcast
spyi bo gnam bstan pa|“one whose head is shown to the sky”, i.e. people in general\n(Note: this is a flowery word, not one that’s used everyday)
mang mjal|an audience granted to a large group of people (H)\ne.g. {phyi nang gi dad ldan pa mi grangs} {360} {tsam la mang mjal bka' drin stsal yod pa re/} He granted audience to around 360 Buddhist and non-Buddhist devotees.
sa dar rdo dar|(adj.) ubiquitous; spread everywhere
'dus mang|the monastic community at a given monastery
bod zla|Tibetan month, also called a Mongolian month ({hor zla}). The 12 months have many names, but the ones used by the CTA in their weekly Tibet TV news broadcasts are as follows:\n1. {mchu zla ba}\n2. {dbo zla ba}\n3. {nag pa zla ba}\n4. {sa ga zla ba}\n5. {snron zla ba}\n6. {chu stod zla ba}\n7. {gro bzhin zla ba}\n8. {khrums stod zla ba}\n9. {dbyug gu zla ba}\n10. {smin drug zla ba}\n11. {mgo zla ba}\n12. {rgyal zla ba}
mchu zla ba|The 1st Tibetan month ({bod zla})
dbo zla ba|The 2nd Tibetan month ({bod zla})
nag pa zla ba|The 3rd Tibetan month ({bod zla})
sa ga zla ba|The 4th Tibetan month ({bod zla})
snron zla ba|The 5th Tibetan month ({bod zla})
chu stod zla ba|The 6th Tibetan month ({bod zla})
gro bzhin zla ba|The 7th Tibetan month ({bod zla})
khrums stod zla ba|The 8th Tibetan month ({bod zla})
dbyug gu zla ba|The 9th Tibetan month ({bod zla})
smin drug zla ba|The 10th Tibetan month ({bod zla})
mgo zla ba|The 11th Tibetan month ({bod zla})
rgyal zla ba|The 12th Tibetan month ({bod zla})
bod rgyal lo|1) (noun) Tibetan Royal Year; the Tibetan lunisolar year. The first year of this system began in 127 BCE, which is when the Tibetan Emperor Nyatri Tsenpo ascended to the throne. So, the current Tibetan Royal Year can be roughly calculated by adding 127 to the current Gregorian year. However, because it is a lunisolar calendar, it rolls over to a new year at {lo sar}, not at the Gregorian new year. This means that the first month or two of the Gregorian calendar are still part of the previous Gregorian year’s corresponding Tibetan Royal Year.\n2) (sentence) “May Tibet Be Victorious!”, a common patriotic cry.
sa 'bar rdo 'bar|an analogy for any activity developing or spreading
sa bshad rdo bshad|an analogy for unnecessary, random talking
sa gtsang rdo gtsang|an analogy for something pure and unadulterated
sa skyes rdo skyes|an analogy for something that’s widespread, for something that grows everywhere
sa zad rdo thug|an analogy for being out of options, for having exhausted all approaches to something
gros tshogs 'thus mi|Member of Parliament (MP)
zhi rgol|(noun, verb) peaceful protest\ncf. {ngo rgol}
zhi rgol gnang|to hold a peaceful protest
las 'gul spel|to campaign (for some cause)\nto rally, have an action
ngo rgol|(noun, verb) protest\ncf. {zhi rgol}
rgyal yum chen mo|{\u0f38rgyal yum chen mo} refers to Gyalyum Chenmo Memorial (GCM), a shortened name for Gyalyum Chenmo Memorial Gold Cup (GCMGC), which is a Tibetan football tournament
rgyal yum chen mo'i dran rten|{\u0f38rgyal yum chen mo'i dran rten} is Gyalyum Chenmo Memorial (GCM), a shortened name for Gyalyum Chenmo Memorial Gold Cup (GCMGC), which is a Tibetan football tournament
rgyal yum chen mo dran rten|{\u0f38rgyal yum chen mo dran rten} is Gyalyum Chenmo Memorial (GCM), a shortened name for Gyalyum Chenmo Memorial Gold Cup (GCMGC), which is a Tibetan football tournament
rtsed 'gran mtha' ma|a final (in sports)\n+ {gnang} = to compete in a final;\ne.g. {bud med sil spol rtsed 'gran mtha' ma de bal yul dang don grub gling gnyis bar gnang rgyu/}\n“Team Kathmandu and Dhundupling enter women’s basket ball finals”\ncf. {mtha' ma'i 'gran bsdur}
mtha' ma'i 'gran bsdur|a final (in sports)\n(Note: this word seems uncommon, it is a hapax legomenon in VOT’s website.)\ncf. {rtsed 'gran mtha' ma}
rtsed 'gran mtha' ma'i rim pa gnyis pa|semifinal (in sports)
gser gyi gzengs rtags|Gold Cup\n(Note: this seems to be the most common word for Gold Cup.)\ncf. {gser gyi rtags ma}
gser gyi rtags ma|Gold Cup\n(Note: this word is a hapax legomenon on VOT’s website.)\ncf. {gser gyi gzengs rtags}
gleng stegs|forum
'go 'dzin|officer (in a political capacity)
gzhung mang|the government and the people\ncf. {gzhung dmangs}
gzhung dmangs|the government and the people\ncf. {gzhung mang}
'os 'gan|duty, responsibility, role
byang a ri|North America
lho a ri|South America
ches thog ma|first, very first
gnad 'gag|significance, importance
rogs skyor|help ({rogs ram}) and support ({rgyab skyor})
nyam thag|poor person/people
sems khams 'phrod bsten|mental health
dbus rgyun|member; standing member, i.e. a permanent member of a committee
bskyar gso|reinstatement
bdag gces|maintenance of something that you already possess; this is done by older generations.\ncf. {rgyun 'dzin}
rgyun 'dzin|maintaining or upholding something that you inherit from someone else; this is done by younger generations. \ncf. {bdag gces}
bzhugs mol|discussion, conversation (h)\nI think this is the honorific of {gleng mol}
gleng mol|discussion, conversation\nI think the honorific form is {bzhugs mol}
gros bsdur|a discussion meant to develop a plan of action\nHonorific: {bka' bsdur}
bka' bsdur|a discussion meant to develop a plan of action (h)\nNon-honorific: {gros bsdur}
gtsug lag slob chen|university
khrims gsher|trial\ncf. {khrims bsher}
khrims gtugs|trial
nag nyes ngos len|guilty plea, confession
nag nyes ngos len byed|to plead guilty, to confess
nag nyes ngos len gnang|to plead guilty, to confess (h)
khrims chad|sentence (in law)
khrims chad bkal|to sentence; to serve a sentence
khrims chad skyel|to sentence (in law)
khrims thag gcod|to sentence (in law)
khrims chad btang|to sentence (in law)
khrims chad bkal|to serve a sentence
g.yog pa|a charge (in law)
phyir 'then byed|to withdraw; to drop (e.g. a charge)
nyes chad|sanctions
nyes chad btang|to sanction
sger langs|uprising, revolt
lo rgyus rang bzhin ldan pa|historic
lgang phug|1) balloon\n2) a bubble (i.e. a closed-off space)
o rtsal|Olympics\n{dgun dus}___: Winter “\n{dbyar dusas}___: Summer “
rtsed 'gran pa|player in a tournament
mdzangs ma|a woman who is intelligent or of good conduct
gyong gud|drawback, downside
brag 'go|Drago, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 炉霍县 Luhuo County)\ncf. {brag mgo}
brag mgo|Drago, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 炉霍县 Luhuo County)\ncf. {brag 'go}
dkar mdzes|1. {dkar mdzes bod rigs rang skyong khul /} Kardze Tibetan Autonomous Prefecture, a prefecture of {si khron} Sichuan encompassing a region that is traditionally part of Kham.\n(Chinese name: 甘孜县 Garze/Ganzi Prefecture)\nHas 18 subdivisions:\n1) {dar mdo grong khyer}\n2) {lcags zam rdzong}\n3) {rong brag rdzong}\n4) {brgyad zur rdzong}\n5) {nyag chu rdzong}\n6) {rta'u rdzong}\n7) {brag 'go rdzong}\n8) {dkar mdzes rdzong}\n9) {nyag rong rdzong}\n10) {sde dge rdzong}\n11) {dpal yul rdzong}\n12) {ser shul rdzong}\n13) {gser thar rdzong}\n14) {li thang rdzong}\n15) {'ba' thang rdzong}\n16) {phyag 'phreng rdzong}\n17) {'dab pa rdzong}\n18) {sde rong rdzong}\n2. Kardze County, a {rdzong} (county) within Kardze Prefecture (see point 8 above)
dar mdo|Dardo, a city-level subdivision in {dkar mdzes} Kardze Prefecture\n(Chinese name: 康定市 Kangding City)\nAlso called {dar rtse mdo} Dartsendo
dar rtse mdo|Dartsendo, a city-level subdivision in {dkar mdzes} Kardze Prefecture\n(Chinese name: 康定市 Kangding City)\nalso called {dar mdo}
lcags zam|Jaksam, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 泸定县 Luding County)
rong brag|Rongtak, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 丹巴县 Danba County)
brgyad zur|Gyasur, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 九龙县 Jiulong County)
nyag chu|Nyakchu, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 雅江县 Yajiang County)
rta'u|Tau, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 道孚县 Dawu/Daofu County)
nyag rong|Nyarong, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 新龙县 Xinlong County)
sde dge|Derge, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 德格县 Dege County)
dpal yul|Palyul, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 白玉县 Baiyu County)
ser shul|Sershul, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 石渠县 Sherxu/Shiqu County)
gser thar|Serta, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 色达县 Sertar/Seda County)
li thang|Lithang, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 理塘县 Litang County)
'ba' thang|Bathang, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 巴塘县 Batang County)
phyag 'phreng|Shaktrang, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 乡城县 Xiangcheng County)
'dab pa|Dappa, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 稻城县 Daocheng County)
sde rong|Derong, a {rdzong} (county) in {dkar mdzes} Kardze Prefecture\n(Chinese name: 得荣县 Derong County)
rang skyong khul|Autonomous Prefecture, a geographical division of China. As of June 2005, there are 30 of these, of which 10 are primarily or partly Tibetan. Of those 10, 8 are primarily Tibetan:\n1. {kan lho}\n2. {mtsho byang}\n3. {mtsho lho}\n4. {rma lho}\n5. {mgo log}\n6. {yul shul}\n7. {dkar mdzes}\n8. {bde chen}\nAnd 2 are partly Tibetan:\n1. {mtsho nub} (partly Mongolian)\n2. {rnga ba} (partly Qiang)
sbi sbi si|BBC
bi bi si|BBC
bod gnas|Tibet\ncf. {bod gnas lta zhib khang}; {bod gnas bskyar zhib dus deb}
bod gnas lta zhib khang|Tibet Watch
bod gnas bskyar zhib dus deb|Tibetan Review
lhag don|in particular; especially
bskyar|again ({yig skad})\nshort for {bskyar du}\nFor the {kha skad} equivalent, see {yang bskyar}
brda khyab btang|to announce
dga' rtags|a “like” on social media
'grel brjod|a comment (e.g. on social media)
brgyud skul|share (e.g. on social media)
brgyud skul gnang|to share (e.g. on social media)
brgyud spel byed|to share (e.g. on social media)
bskyar gzhig byed|to reimagine
dga' spobs skye|to be pleased to do something\n(In English we might say “I am proud to [announce, share, etc.]”)
dpyad rtsom|a paper (on a topic)
sku nyid|you (h)
gnas tshul mkho sprod pa|news source; informant
gong zhus|the aforementioned
gsal kha 'don|to clarify
mthong thos myong gsum|sight, hearing, and experience\n(i.e. personal knowledge)
gros 'thus|Member of Parliament\nshort for {gros tshogs 'thus mi}
ched 'don|1) introduce (e.g. a bill in Parliament)\n2) to show (e.g. an expression of worry)\nVerbalizer: {byed} / {gnang} (h)
thugs 'tshab|worry (h)
gsum brgyad|The eighth of the third, i.e. March 8. This is the anniversary of March 8, 1989 when martial law was declared following three days of protests in Lhasa. It commemorates the Tibetans who died at the hands of the Chinese government in this event.
gsum bcu|The tenth of the third, i.e. March 10. This is the anniversary of Tibetan Uprising Day, in commemoration of the Tibetan uprising of March 10, 1959.
cho 'phrul smon lam|Chotruel Moenlam, a prayer festival happening on Chotruel Duechen, which is the fifteenth day of Chotruel Dawa, the first Tibetan month.
gnas tshul 'byor|to get news, to hear news
shar bskyod byed|to proceed; to go ahead\n(e.g. for an event to proceed under someone’s oversight; for a person to proceed under someone’s guidance, etc.)
bdag cag gi ston pa thub pa sangs rgyas bcom ldan 'das|A common Tibetan title for the Buddha
bdag cag gi ston pa bcom ldan 'das shA kya thub pa|A common Tibetan title for the Buddha
bcar rdung btang|to beat
ngal 'phrad|difficulty
sud tshong ba|sweater-seller
gzhen skul gnang|to urge (someone to do something), to call for (something to happen)
sems 'gul spel|to endorse (?); to move people to do something
sems 'gul btang|to inspire (?)
mtshan gzhung|list (h), register of people\ncf. {tho gzhung}
mang gtso tshogs pa|Democratic Party (USA)\nFor the Republican Party, see {spyi mthun tshogs pa}
dmangs gtso tshogs pa|Democratic Party (USA)\nFor the Republican Party, see {spyi mthun tshogs pa}
spyi mthun tshogs pa|Republican Party (USA)\nFor the Democratic Party, see {mang gtso tshogs pa}
kha gsal bzo|to clarify, to disclose
ched bton|see {ched 'don}
gros chod gros 'char|a resolution (in parliament)
nus gso|“nurturing ability”\nPart of the name of {bod mi'i nus gso lte gnas khang}, a group for people with disabilities
bod mi'i nus gso lte gnas khang|Tibetan Ability Center
gzigs phyogs|views (h)\ncf. {lta phyogs} for the {kha skad} equivalent
tshogs skyid|group, organization\ncf. {tshogs pa}; {tshogs sde}
tshogs sde|group, organization\ncf. {tshogs pa}; {tshogs skyid}
spyi zur|Chisur, i.e. “former {spyi 'thus} Chithue”; an address often added to the beginning of former MP’s names.
yongs 'brel|general/universal(?)
gzigs rtog|honorific of {lta rtog}
brgya ston|centenary; 100th birthday anniversary
go ston|90th birthday anniversary
gya ston|80th birthday anniversary
'dzin skyong gi dgongs zhu|administrative leave
nyo tshong mtshams 'jog|boycott; to boycott
nyo tshong mtshams 'jog byed|to boycott
nyo tshong mtshams 'jog gnang|to boycott (h)
dpyang thag|1) a vertical rope for hanging things (e.g. a swing)\n2) a horizontal rope for hanging things (e.g. a clothesline)
lgang bu|1) a balloon\n2) a ball\ncf. {lgang phug}
sems khams 'phrod bsten|mental health\ncf. {sems khams bde thang}
sems khams bde thang|mental health\ncf. {sems khams 'phrod bsten}
langs phyogs|position, stance (whether physical or philosophical)\nHonorific: {bzhengs phyogs}
bzhengs phyogs|position, stance (whether physical or philosophical)\nNon-honorific: {langs phyogs}
ngal rtsol ra ba|labour camp
rung ba|1) appropriate, permissible\n2) (after a verb + {la don} particle) to be fitting or permissible; e.g. {'jigs su rung ba} “fearsome” (lit. “appropriate to fear”), {med du mi rung ba} “indispensible” (lit. “not permissible to not exist”)\n3) (after a verb + optional {la don} particle) -able; e.g. {las su rung ba} “workable”, {lag bstar rung ba'i yig cha} “executable file”
sla ba|1) easy\n2) (after a verb) to do something easily, or to have a tendency to do something; e.g. {dran pa brjed sla ba} “forgetful”, {'bud sla ba'i so} “a loose (lit. “easy-to-fall-out”) tooth”
gshis|1) nature (of a person etc.)\n2) (after a verb) because of / therefore (like {pas} in Classical Tibetan or {tsang} in Modern Tibetan)
si legs|silk\ncf. {si ling}
nye rigs|species
nying ldan|eukaryote
thang 'bru rmen bu|pineal gland
gces tshor dbang rtsa'i ma lag|sympathetic nervous system\n(contrast with {nye ba'i gces tshor dbang rtsa'i ma lag})
nye ba'i gces tshor dbang rtsa'i ma lag|parasympathetic nervous system\n(contrast with {gces tshor dbang rtsa'i ma lag})
rdog rdeg|a kick (in soccer/football)
nyes chad rdog rdeg|a penalty kick (in soccer/football)
bcos las byed|to process, to refine
tA la'i ru tshogs|“the Dalai clique”, a derogatory term used by the PRC to denigrate HHDL’s supporters
krung go'i khyad chos ldan pa'i spyi tshogs ring lugs|socialism with Chinese characteristics
dang blangs|voluntary; volunteer\ne.g. {dang blangs bod don zhu gtugs tshogs pa} “Voluntary Tibet Advocacy Group”
dang blangs bod don zhu gtugs tshogs pa|Voluntary Tibet Advocacy Group (VTAG
khrims zhib pa|Justice Commissioner
khrims zhib pa che ba|Chief Justice Commissioner
'das grongs su 'gyur|to pass away
gyong gud|harm, damage\ncf. {gnod skyon}
kub la'i khAng|Kublai Khan\ncf. {kub la'i khAn}
mi rgyu|people and property
gnod skyon|harm, damage\ncf. {gyong gud}
thugs gso|consolation; condolences
snga snur gyis|ahead of schedule; in advance
snga snur du|ahead of schedule; in advance
mtho rgyugs|college entrance exam
'os shog 'phen|to cast a ballot (literary)\ncf. {'os shog blug}
'os shog blug|to cast a ballot (colloquial)\ncf. {'os shog 'phen}
bla sprul|1) tulku\n2) lama and tulku
sa 'brel rgyal khab|bordering country, neighbouring country
brdzun bzo|fabrication
brdzun bzo byed|to fabricate
phyir slog|deportation
phyir slog byed|to deport
lkub ldag mkhan|brown-noser (lit. “ass-licker”)
ches dga' sa|favourite (literary register)
dbus sa|central and local (branches of an organization)
bod phrug khim sde|Tibetan Children’s Village (TCV)
bod kyi gzhon nu lhan tshogs|Tibetan Youth Congress (TYC)
gzhon lhan|Youth Congress\nSee {bod kyi gzhon nu lhan tshogs}
sdig pa|sin (in Christianity)
dpyad deb|academic journal; scholarly book\ne.g. {bod rig pa'i dpyad deb}
bod rig pa'i dpyad deb|The Tibetan Studies Journal
dgon bdag|the head of a monastery
hra tag tag|stable
sku bzhengs mdzad|to rise up, to stand (high honorific)\nFamiliar: {langs}\nHonorific: {bzhengs}
langs|to rise up, to stand (familiar)\nHonorific: {bzhengs}\nHigh honorific: {sku bzhengs mdzad}
bzhengs|to rise up, to stand (honorific)\nFamiliar: {langs}\nHigh honorific: {sku bzhengs mdzad}
nye ba'i rigs bdag|vice-chancellor
gzhang lugs|rectal prolapse
'thus tshogs|assembly
sa gnas 'thus tshogs|local assembly (a type of Tibetan political structure)
ches mtha' ma|the very last
byabs khrus|chabtru (a type of purification ceremony)
na bza' sgron 'bul|robe-offering ceremony
tho gzhung|list
mdzad rjes|legacy, impact
mdzad rjes can|impactful, leaving a legacy
sna kha 'dzoms po|diverse, varied
mur mdzog|fist\ncf. {khu tshur}
khu tshur|fist\ncf. {mur mdzog}
khrus gsol|baptism (Christianity)
khrus gsol mkhan|baptist (Christianity)
ya la sprad|to blame something, to make excuses based on something; e.g. {dus tshod la ya la sprad} “to blame the time”
rtsad 'tshol|to find
rtsa ra|interrogation
khrom gzigs khang chen|mall\n(also called {khrom gzigs khang}, {tshong ra})
khrom gzigs khang|mall\n(also called {khrom gzigs khang chen}, {tshong ra})
