rta dbang|Tawang, a town in Tawang District, AP.\nHHDL’s sixth stop in India during his escape into exile.\nFor the previous place, see {mthong legs}.\nFor the next place, see {ljang}.
ljang|Jang, a place in Tawang District, AP.\nHHDL’s seventh stop in India during his escape into exile.\nFor the previous place, see {ljang}.\nFor the next place, see {dzi la}.
dzi la|a place in Arunachal Pradesh. It is a pass at the border between Jang ({ljang}) in Tawang District and Sange Dzong ({seng ge rdzong}) in West Kameng District. It might be what’s called “Sela” on maps today.\nHHDL passed through here during his escape into exile.
seng ge rdzong|Sange Dzong, a place in West Kameng District, AP.\nHHDL’s eighth stop in India during his escape into exile.\nFor the previous place, see {dzi la}.\nFor the next place, see {sde rang nga}.
sde rang|Dirang, a place in West Kameng District, AP.\nHHDL’s ninth stop in India during his escape into exile. Also written {sde rang nga}.\nFor the previous place, see {seng ge rdzong}.\nFor the next place, see {ra hung}.
ra hung|Rahung, a place in West Kameng District, AP, between Dirang ({sde rang nga}) and Bomdila ({'bum sde la}). Also written {rA hUng}.\nHHDL’s tenth stop in India during his escape into exile.\nFor the previous place, see {sde rang nga}.\nFor the next place, see {'bum sde la}
'bum sde la|Bomdila, a place in West Kameng District, AP.\nHHDL’s eleventh stop in India during his escape into exile.\nFor the previous place, see {ra hung}.\nFor the next place, see {khe long}.
khe long|Kelang, a place between Bomdila, AP, and Tezpur, Assam.\nHHDL’s twelfth stop in India during his escape into exile.\nFor the previous place, see {'bum sde la}.\nFor the next place, see {tedza pur}.
tedza pur|Tezpur (usually not transcribed in Tibetan, and instead written in English), a place in Assam.\nHHDL’s thirteenth stop in India during his escape into exile.\nFor the previous place, see {khe long}.\nFor the next place, see {mu su ri}.
mu su ri|Mussoorie (usually not transcribed in Tibetan, and instead written in English), a place in Uttarakhand.\nHHDL’s fourteenth stop in India during his escape into exile.\nFor the previous place, see {tedza pur}.\nFor the next place, see {rda ram sa la}.
rda ram sa la|Dharamsala, a town in HP and seat of the Dalai Lama and the Tibetan government in exile.\nHHDL’s fifteenth and final stop in India during his escape into exile.\nFor the previous place, see {mu su ri}.
dpe|very
yin gcig min gcig|absolutely (commonly used in exhortative sentences — see also {yin gcig min gnyis})
yin gcig min gnyis|absolutely (see also {yin gcig min gcig}, which is more common)
dus dbang|Kalachakra empowerment
thig ris|stripe (e.g. on a tiger)
mthud mtshams|synapse
drwa rgya bde 'jags|cybersecurity (also spelled {dra rgya bde 'jags})
dra rgya bde 'jags|cybersecurity (also spelled {drwa rgya bde 'jags})
grang nyung mi rigs|minority ethnic group
mi rigs rtsa gtor|genocide
rdo chas phra mo|microlith
spri gor|cake
gnam sde sgo mo che|a misspelling of {gnam bde sgo mo che}
ther ga|caravan
ther ka|caravan
lam zur|the side of the road
lo 'khor mor|all year round
rgyan cha|jewelry
ting sgra|a ringing sound, like a large bell ({cong}, from Chinese 鐘/钟). See also {sil sgra}.
sil sgra|a ringing sound, like a handheld bell ({dril bu}, as opposed to a {cong}). See also {ting sgra}.
grags|to resound
smad g.yogs|seems to mean “skirt” specifically(?)
dras hrug|piece of cloth (?); cf. {dug tshal}
bkrag gdangs 'tsher|to shine\nsee also {'od 'tsher}
mig zung dwangs|bright-eyed
am cog|ear; cf. {a mchog}
lag pa 'chang|to touch
sems pa skyo|to be sad
a lad pad ko|doll
yo|to be crooked, askew\nNote: This is likely the root of a large number of Tibetan words. cf. {yon po}, {yon}, {yor}, {gyor}, {g.yor}, {g.yo}, {g.yon po}, {yam yom}, {yam yam}, {yam me ba}, etc.\nPossible connection to {kyog}, {yog}, {'og}, and {phyo phyo ba}.
'jigs|to be afraid\ncf. {sdigs}\nFor similar alternations, see {'ju}, {'jings}
sdigs|to threaten\ncf. {'jigs}
'jings|the centre, the middle\ncf. {sdings}\nFor similar alternations, see {'jigs}, {'ju}
sdings|the centre, the middle\ncf. {'jings}
'ju|to hold\ncf. {sdu}\nFor similar alternations, see {'jigs}, {'jings}
sdu|to collect\ncf. {'ju}
ya|other member of a pair\nSeems to be the root of many Tibetan words.\ncf. {yan pa}, {gzhan pa}, {ya gyal}, {ya lan}
yan pa|other\ncf. {ya}, {gzhan pa}
gzhan pa|other\ncf. {yan pa}, {ya}
yon|crooked\ncf. {yo}
dka' ba|to be difficult\ncf. {dkon po}
dkon po|rare (appears to be derived from {dka' ba} using the -npo suffix with o-ablaut)
dpa' ba|to be able, to dare to\ncf. {dpon po}, {dpa' bo}
dpa' bo|hero, courageous person\ncf. {dpa' ba}
dpon po|boss, powerful or capable one ({bod rgya tshig mdzod chen mo}: {dbang cha 'dzin mkhan/})\n(distinct from “leader”, which is {dbu 'khrid})\nAppears to be derived from {dpa' ba} the same way as {dkon po} from {dka' ba}.
sngon khab|vaccine, vaccination
'tshams gzigs|a visit (h)
rgan po|old person (literary)\nFor the more colloquial form, see {rgan khog}\ncf. {rga ba}
rgan khog|old person (colloquial)\nFor the more literary form, see {rgan po}\ncf. {rga ba}
rga ba|to age\ncf. {rgan po}
gshin|dead, from {shi} with verbal prefix and nominal/adjectival -n suffix.\ncf. {gson}
gson|alive, from {gso} with nominal/adjectival -n suffix.\ncf. {gshin}
shos|colloquial superlative suffix (“-est”)\ne.g. {mtho shos} “highest”\ncf. {ches}
ches|literary superlative prefix (“-est”)\nLiterally means “greatly” ({che}+ {sa}).\ne.g. {ches mtho} “highest”\ncf. {shos}
'du byed|This absolutely should never be translated as “formation” or “fabrication”. Rather, it is something like “former” or “fabricator” or “producer”.\nReasons:\n1) Per the Khajjaniya sutta: “And why, monks, do you call them ‘saṅkhāras’? Because they produce produced things, monks, that is why they are called ‘saṅkhāras’.”\n2) They are called {'du byed} in Tibetan. {byed} is an agentive ending in Tibetan grammar, analogous to the English suffix “-er” or “-or”, and is contrasted with the patientive ending {byas}. Cf. saṃskṛta {'dus byas} “produced thing”.\n3) Miphams Khejuk says “{rnam shes la yang srid kyi sa bon 'debs pas 'du byed ces bya ste/}” i.e. “Because they plant the seed of rebirth in one’s consciousness, they are called ‘producers.’ “\n4) The illustrative example for saṃskāras in the {bka' gdams pha chos/} is a potter. The text says “{'du byed dag ni rdza mkhan bzhin/}” i.e. “Producers are like a potter.” Potters are producers, not products.\nTherefore, this does not mean “formation”.
thor bu|scattered\ncf. {'thor}, {gtor}
gtor|to scatter (transitive)\ncf. {'thor}
'thor|to scatter (intransitive)\ncf. {gtor}, {thor bu}
gtug|to cause two things to meet (transitive)\ncf. {thug}
thug|to meet (intransitive)\ncf. {gtug}
gtum|to cover (transitive)\ncf. {thum}
thum|a cover\ncf. {gtum}
gtub|to cut (this appears to originally be the transitive form of {thub})
thub|1) to be capable\n2) to subdue (this appears to originally be the intransitive form of {gtub} — cf. the English phrase “cut it” to mean “be capable” or “make the cut” to mean “succeed”)
gtan|stable, unwavering (looks like a transitive root)\ncf. {'than}
'than|stable, unwavering (looks like an intransitive root)\ncf. {gtan}
gtal|to hit (this appears to originally be the transitive root of {thal})
