ཀ་ཁ་|alphabet
ངོ་མཚར་|1) miracle, wonder; 2) wonderful
ངོམ་|(INTR) to be sated (by + ERG)\nv1 ངོམ་ v2 ངོམས་ v3 ངོམ་ v4 ངོམ་
ངོམས་|see ངོམ་
དངུལ་|silver
དངུལ་རྡོ་|silver-ore
དངོས་པོ་|thing
མངའ་|(HON for ཡོད་; COP) to have
མངོན་པར་|openly, visibly
མངོན་པར་སངས་རྒྱ་|(INTR) to achieve manifesting enlightenment\nv1 མངོན་པར་སངས་རྒྱ་ v2 རྒྱས་ v3 མངོན་པར་སངས་རྒྱ་ v4 མངོན་པར་སངས་རྒྱ་
རྒྱས་|see མངོན་པར་སངས་རྒྱ་
མངོན་བློ་|real understanding
རྔ་|drum
རྔ་|(TR) to reap\nv1 རྔ་ v2 བརྔས་ v3 བརྔ་ v4 རྔོས་
བརྔས་|see རྔ་
བརྔ་|see རྔ་
རྔོས་|see རྔ་
ལྔ་|five
ལྔ་བརྒྱ་|five hundred
ལྔ་ཚིགས་|third out of five
སྔ་|earlier time
སྔ་བ་|the earliest one
སྔ་མ་|before
སྔ་རོལ་|past ages
སྔག་ v2 བསྔགས་ v3 བསྔག་ v4 སྔོག་|(TR) to praise
སྔག་ v2 བསྔགས་ v3 བསྔག་ v4 སྔོགས་|(TR) to praise
སྔགས་|mantra
སྔར་|1) (A) 1) earlier; 2) before, ahead; 2) (N) the past
སྔར་ཕན་|until recently
སྔས་མགོ་|pillow
སྔོ་|green
སྔོན་|earlier
བརྔ་|see རྔ་
བསྔགས་|see སྔག་

ཅང་|any, any thing, anyone
ཅི་|(INT) what? (REL) which
ཅི་ལྟར་|(INT) how? (REL) how (also ཇི་ལྟར་)
ཅི་འདྲ་|(INT / REL) how; (REL) whatever
ཅི་ཙམ་|(INT) how much?; (REL) so much
ཅིའི་ཕྱིར་|(INT) why?
ཅུང་ཟད་|a little, a bit
གཅགས་|(INTR) to love
གཅད་|see གཅོད་
གཅིག་|one
གཅིག་ཏུ་ན་|firstly
གཅིག་པ་|(A) only
གཅིག་པུ་|1) sole; 2) alone
གཅིག་པོ་|(A) only
གཅོག་ v2 བཅག་ v3 གཅག་ v4 ཆོག་|(TR) to break; to knock out
གཅོག་ v2 བཅག་ v3 གཅག་ v4 ཆོགས་|(TR) to break; to knock out
གཅོད་|(TR) 1) to cut; 2) to decide; ཞལ་ཆེ་གཅོད་ to pass a judgement\nv1 གཅོད་ v2 བཅད་ v3 གཅད་ v4 ཆོད་
བཅད་|see གཅོད་
གཅད་|see གཅོད་
ཆོད་|see གཅོད་
བཅག་|see གཅོག་
བཅས་|accompanied by, possessed of, together with (+ COM)
བཅས་|see འཆའ་
བཅིངས་|see འཆིང་
བཅུ་|ten
བཅུག་|see འཇུག་
བཅོ་བརྒྱད་|eighteen
བཅོ་ལྔ་|fifteen
བཅོམ་|see འཇོམས་
བཅོམ་ལྡན་འདས་|the Victorious One (Skt. bhagavant), an epithet of Buddha
བཅོལ་|see འཆོལ་
བཅོལ་གཏམས་|trust
བཅོས་|see འཆོས་
བཅོས་མ་|artificial
ལྕག་|a blow, a hit
ལྕགས་|iron
ལྕགས་རྡོ་|iron-stone
ལྕགས་ཕྱེ་|iron filing
ལྕེ་|tongue
ལྕོགས་|(INTR) to be possible

ཆ་|part
ཆ་ལུགས་|appearance
ཆ་ཤས་|portion
ཆག་|see འཆག་
ཆགས་|(INTR) to be attached (to + DAT)
ཆགས་|(INTR) to arise
ཆགས་པ་|1) love; 2) passion
ཆང་|beer
ཆང་ཚོང་|tavern
ཆང་ཚོང་མ་|beer-seller (F)
ཆད་|see འཆད་
ཆད་པ་|begotten / born from (+ DEL)
ཆབ་སྲིད་|dominion
ཆར་འདོད་བྱེ་འུ་|cātaka-nestling
ཆས་|1) garment, clothes; 2) form, appearance
ཆིབས་ |(HON for རྟ་) horse
ཆིབས་ཁ་|briddle
ཆུ་|1) water; 2) river
ཆུ་ཀླུང་|river
ཆུ་སྡོར་|meat
ཆུ་བོ་|river
ཆུག་|see འཇུག་
ཆུང་|(to be) small, young
ཆུང་ངུ་|1) (N) 1) the youngest; 2) childhood; 2) (A) small
ཆུང་གཉེན་|child-marriage
ཆུང་མ་|wife
ཆུང་ཤོས་|the youngest
ཆུད་གསན་|(TR) to waste
ཆེ་བ་|(to be) great; ཚབས་ཆེ་བ་ very great
ཆེན་པོ་|1) great; 2) big, large, vast
ཆོ་ངེས་|lamentation
ཆོག་|see གཅོག་
ཆོག་|(MOD) to be allowed, permitted
ཆོད་|(INTR) to be decided; ཁོ་ཐག་ཆོད་ to be certain
ཆོད་|see གཅོད་
ཆོས་|1) Buddhist teaching, Dharma (Skt. dharma); 2) religious teaching; 3) thing, being, anything that exists
ཆོས་གོས་|monk-robe
ཆོས་རྒྱལ་|Dharma-king
ཆོས་པ་|follower of Dharma
ཆོས་འབྱུང་|lit. origins of Buddhism; name of a literary genre
མཆི་|(HML; TR) to speak
མཆི་|(HML for འོང་ / འགྲོ་; INTR) 1) to come; 2) to go\nv1 མཆི་ v2 མཆིས་ v3 མཆི་ v4 མཆི་
མཆིས་|see མཆི་
མཆི་མ་|tears
མཆིམས་བཟའ་|lady from the Mčhims family
མཆིས་|see མཆི་
མཆིས་|(HML for ཡོད་) to be there
མཆེད་|(HON) brother
མཆོག་|the most excellent
མཆོག་ཏུ་ |very
མཆོང་|(INTR) to jump
མཆོངས་|(INTR) to jump
མཆོད་|(TR) to worship
མཆོད་རྟེན་|shrine (Skt. stūpa)
མཆོད་པ་|1) offering; 2) honours
འཆག་|(INTR) to walk
འཆག་|(INTR) to break\nv1 འཆག་ v2 ཆག་ v3 འཆག་ v4 འཆག་
ཆག་|see འཆག་
འཆད་|(INTR) 1) to be cut (off; into pieces); 2) to be separated; 3) to be decided / determined\nv1 འཆད་ v2 ཆད་ v3 འཆད་ v4 འཆད་
ཆད་|see འཆད་
འཆད་|(TR) 1) to explain; 2) to relate\nv1 འཆད་ v2 བཤད་ v3 བཤད་ v4 ཤོད་
བཤད་|see འཆད་
བཤད་|see འཆད་
ཤོད་|see འཆད་
འཆམ་|(TR) to agree (upon + DAT); ཁ་འཆམ་ to agree
འཆའ་|(TR) to place (on + DAT)\nv1 འཆའ་ v2 བཅས་ v3 བཅའ་ v4 ཆོས་
བཅས་|see འཆའ་
བཅའ་|see འཆའ་
ཆོས་|see འཆའ་
འཆར་|(INTR) to rise\nv1 འཆར་ v2 ཤར་ v3 འཆར་ v4 འཆར་
ཤར་|see འཆར་
འཆར་བྱེད་|(PN) Ɣčhar-byed (Skt. Udayana)
འཆི་|(INTR) to die\nv1 འཆི་ v2 ཤི་ v3 འཆི་ v4 འཆི་
ཤི་|see འཆི་
འཆིང་|(TR) to bind\nv1 འཆིང་ v2 བཅིངས་ v3 བཅིང་ v4 ཆིངས་
བཅིངས་|see འཆིང་
བཅིང་|see འཆིང་
ཆིངས་|see འཆིང་
འཆོར་|(INTR) to get lost, to perish; མཆི་མ་འཆོར་ (TR / NC) to shed tears\nv1 འཆོར་ v2 ཤོར་ v3 འཆོར་ v4 འཆོར་
ཤོར་|see འཆོར་
འཆོལ་|(TR) 1) to appoint, to make; 2) to entrust (to + DAT)\nv1 འཆོལ་ v2 བཅོལ་ v3 བཅོལ་ v4 འཆོལ་
བཅོལ་|see འཆོལ་
བཅོལ་|see འཆོལ་
འཆོས་|(TR) to make, to prepare\nv1 འཆོས་ v2 བཅོས་ v3 བཅོ་ v4 ཆོས་
བཅོས་|see འཆོས་
བཅོ་|see འཆོས་
ཆོས་|see འཆོས་

ཇི་|see ཅི་
ཇི་ལྟར་|see ཅི་ལྟར་
ཇོ་བོ་|lord, master
ཇོ་མོ་|1) goddess; 2) lady
མཇུག་|hind part
མཇུག་མ་|tail
འཇང་|(PN) name of an ancient people
འཇམ་|(to be) soft
འཇམ་པ་|mild, gentle
འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་|(PN) Ɣǰam-dpal-gźon-nur-gyur-pa, lit. Mañjuśrī who became a youth (Skt. Kumārabhūtamañjuśrī)
འཇའ་|rainbow
འཇའ་ཚོན་|rainbow
འཇལ་|(TR) to measure out\nv1 འཇལ་ v2 བཅལ་ v3 གཞལ་ v4 འཇོལ་
བཅལ་|see འཇལ་
གཞལ་|see འཇལ་
འཇོལ་|see འཇལ་
འཇིག་|to perish\nv1 འཇིག་ v2 ཞིག་ v3 འཇིག་ v4 འཇིག་
ཞིག་|see འཇིག་
འཇིག་|(TR) to waste, to annihilate\nv1 འཇིག་ v2 བཤིག་ v3 གཞིག་ v4 ཤིག་
བཤིག་|see འཇིག་
གཞིག་|see འཇིག་
ཤིག་|see འཇིག་
འཇིག་རྟེན་|world
འཇིག་རྟེན་པ་|folk, inhabitants of the world
འཇིག་པ་|decay
འཇིགས་|(INTR) to fear
འཇུ་|(TR) 1) to seize, to grasp; 2) to embrace\nv1 འཇུ་ v2 འཇུས་ v3 འཇུ་ v4 འཇུ་
འཇུས་|see འཇུ་
འཇུ་|(TR) to melt\nv1 འཇུ་ v2 བཞུས་ v3 བཞུ་ v4 འཇུ་
བཞུས་|see འཇུ་
བཞུ་|see འཇུ་
འཇུག་|(INTR) to enter\nv1 འཇུག་ v2 ཞུགས་ v3 འཇུག་ v4 འཇུག་
ཞུགས་|see འཇུག་
འཇུག་|(TR) 1) to put into; 2) to lead to; 3) to order; (CAUS) to cause, to let\nv1 འཇུག་ v2 བཅུག་ v3 གཞུག་ v4 ཆུག་
བཅུག་|see འཇུག་
གཞུག་|see འཇུག་
ཆུག་|see འཇུག་
འཇུས་|see འཇུ་
འཇོག་|(TR) 1) to leave, to leave behind; 2) to lay down\nv1 འཇོག་ v2 བཞག་ v3 གཞག་ v4 ཞོག་
བཞག་|see འཇོག་
གཞག་|see འཇོག་
ཞོག་|see འཇོག་
འཇོམས་|(TR) to conquer\nv1 འཇོམས་ v2 བཅོམ་ v3 གཞོམ་ v4 ཆོམ་
བཅོམ་|see འཇོམས་
གཞོམ་|see འཇོམས་
ཆོམ་|see འཇོམས་
རྗེ་|lord, ruler
རྗེས་|1) (N) step, trace; 2) (Postp) after, behind (+ ABS)
རྗེས་སུ་|(Postp) after (+ GEN); see རང་
རྗོད་|(TR) to say\nv1 རྗོད་ v2 བརྗོད་ v3 བརྗོད་ v4 རྗོད་
བརྗོད་|see རྗོད་
བརྗོད་|see རྗོད་

ཉ་ཁྲི་|(PN) Ña-khri
ཉག་|lump
ཉང་ཆུ་སྐྱ་མོ་|(PN) Ñaṅ-čhu-skya-mo, name of a river
ཉང་པོ་|(PN) Ñaṅ-po, a historical region in Tibet
ཉན་|(TR) to listen, to hear\nv1 ཉན་ v2 ཉན་ v3 ཉན་ v4 ཉོན་
ཉོན་|see ཉན་
ཉན་གྱི་རྣ་གསང་མ་|(PN) Ñan-gyi-rna-gsaṅ-ma
ཉམ་ཆུང་|(to be) weak
ཉམས་|(INTR) to be / get hurt
ཉམས་ཐག་|(INTR) to be exhausted
ཉལ་|(INTR) to lie down
ཉི་དཀྱིལ་|solar disc
ཉི་མ་|sun
ཉི་ཤུ་རྩ་བདུན་|twenty-seven
ཉིད་|1) the very; 2) self; 3) alone
ཉིད་དུ་|as such
ཉིན་|day
ཉིན་པར་|during the day
ཉིལ་ལེ་|dangling
ཉུང་|(to be) few
ཉེ་|(INTR) to be near
ཉེ་འཁོར་|kindreds
ཉེ་རིང་|near and distant
ཉེན་|(INTR) to be pained
ཉེས་|(INTR) 1) to be hurt; 2) to be bad; 3) to make a mistake
ཉེས་པ་|1) moral fault; 2) evil, offence; calamity
ཉོ་|(TR) to buy\nv1 ཉོ་ v2 ཉོས་ v3 ཉོ་ v4 ཉོས་
ཉོས་|see ཉོ་
ཉོས་|see ཉོ་
ཉོན་|see ཉན་
ཉོན་མོངས་པ་|misery, trouble
གཉན་|argali
གཉའ་|neck
གཉའ་བ་|neck
གཉའ་ཁྲི་བཙན་པོ་|(PN) Gñaɣ-khri-bcan-po
གཉའ་ཤིང་|yoke
གཉིད་|dream
གཉིས་|two
གཉིས་ཀ་|a pair, couple
གཉིས་པ་|second
གཉིས་སུ་ན་|secondly
གཉེན་|(N) relative
གཉེན་ཉེ་འབྲེལ་|(N) relative
གཉེན་པོ་གསང་བ་|(PN) Secret Gñen-po, name of a tutelary deity
གཉེན་ཚན་|relatives
གཉེན་བཤེས་|relatives and friends
གཉེར་|(TR) to take care
གཉེར་ཁ་ |attention, care
མཉན་དུ་ཡོད་པ་|(PN) Mñan-du-yod-pa (also Mñan-yod), Indian town Śrāvasti
མཉན་ཡོད་|see མཉན་དུ་ཡོད་པ་
རྙིང་མ་པ་|(PN) Rñiṅ-ma-pa, a school of Tibetan Buddhism
རྙེད་|(TR) 1) to find; 2) to obtain; དབུ་རྙེད་ to introduce\nv1 རྙེད་ v2 བརྙེད་ v3 བརྙེད་ v4 རྙེད་
བརྙེད་|see རྙེད་
བརྙེད་|see རྙེད་
རྙོག་པ་|whirlpool
སྙད་|(TR) to tell, to relate\nv1 སྙད་ v2 བསྙད་ v3 བསྙད་ v4 སྙོད་
བསྙད་|see སྙད་
བསྙད་|see སྙད་
སྙོད་|see སྙད་
སྙན་|(HON for རྣ་བ་) ear
སྙན་པ་|pleasant, well-sounding
སྙམ་|1) to think; 2) thought
སྙིང་རྗེ་|compassion
སྙིང་རྗེ་བ་|compassionate
སྙིང་སྟོབས་|courage
སྙིང་པོ་|quintessence, the main substance
སྙིང་བརྩེ་བ་|loving, kind
སྙུང་|illness
སྙུན་|disease, illness
སྙེད་|(DET) about; see also དེ་སྙེད་
སྙོད་|(TR) to feed\nv1 སྙོད་ v2 བསྙོད་ v3 བསྙོད་ v4 སྙོད་
བསྙོད་|see སྙོད་
བསྙོད་|see སྙོད་
སྙོལ་|(TR) to lay down\nv1 སྙོལ་ v2 བསྙལ་ v3 སྙོལ་ v4 སྙོལ་
བསྙལ་|see སྙོལ་
བརྙ་|(TR) to borrow\nv1 བརྙ་ v2 བརྙས་ v3 བརྙ་ v4 བརྙ་
བརྙས་|see བརྙ་
བརྙས་|see བརྙ་
བརྙེས་|see རྙེད་
བསྙད་|see སྙད་
བསྙལ་|see སྙོལ་
བསྙོད་|see སྙོད་

ཏིང་ངེ་འཛིན་|contemplation (Skt. samādhi)
གཏང་|see གཏོང་
གཏད་|see གཏོད་
གཏམ་|1) rumour; 2) speech
གཏམ་དཔེ་|proverb
གཏམ་ཚིག་|words
གཏི་མུག་|ignorance
གཏིང་|1) bottom; 2) depth
གཏུམ་པ་|(to be) hot-tempered; furious
གཏེར་|1) treasury; 2) tresure
གཏེར་ཁ་|mine
གཏོག་|སེ་གོལ་གཏོག་ to snap one’s fingers\nv1 གཏོག་ v2 གཏོགས་ v3 གཏོག་ v4 གཏོག་
གཏོགས་|see གཏོག་
གཏོང་|(TR) 1) to let go, to send; 2) to give away, to give; 3) to abandon, to leave; 4) to let; 5) to set free; མཐུ་གཏོང་ to cast spells; བག་མར་གཏོང་ to give in marriage; གཡར་གཏོང་ to loan; སེམས་གསོ་གཏོང་ to console\nv1 གཏོང་ v2 བཏང་ v3 གཏང་ v4 ཐོང་
བཏང་|see གཏོང་
གཏང་|see གཏོང་
ཐོང་|see གཏོང་
གཏོད་|(TR) 1) to direct, to turn, to point (towards + DAT); 2) to deliver up\nv1 གཏོད་ v2 གཏད་ v3 གཏད་ v4 ཐོད་
གཏད་|see གཏོད་
གཏད་|see གཏོད་
ཐོད་|see གཏོད་
གཏོར་|(TR) to scatter
གཏོར་མ་|strewing-oblation
བཏགས་|see འདོགས་
བཏང་|see གཏོང་
བཏབ་|see འདེབས་
བཏིང་|see འདིང་
བཏུལ་|see འདུལ་
བཏེག་|see འདེག(ས)་
བཏོན་|see འདོན་
རྟ་|horse
རྟ་བདག་|horse-owner
རྟ་པ་|horseman
རྟ་རྫི་|horse-keeper
རྟག་ཏུ་|always
རྟག་པ་|1) lasting, durable; 2) permanence
རྟིང་དུ་|(Adv) later
རྟིང་ལ་|1) (Postp) after (+ GEN); 2) (Adv) later
རྟིང་སོར་|(Adv) later
རྟེའུ་ |foal
རྟོག་ v2 བརྟགས་ v3 བརྟག་ v4 རྟོག་|(TR) to consider, to examine
རྟོག་ v2 བརྟགས་ v3 བརྟག་ v4 རྟོགས་|(TR) to consider, to examine
རྟོགས་|(TR) to perceive, to apprehend
ལྟ་|(TR) to look (at / towards + DAT), to inspect, to examine\nv1 ལྟ་ v2 བལྟས་ v3 བལྟ་ v4 ལྟོས་
བལྟས་|see ལྟ་
བལྟ་|see ལྟ་
ལྟོས་|see ལྟ་
ལྟ་ཅི་སྨོས་|how much less, not to mention, to say nothing of (+ ABS)
ལྟ་བུ་|thus
ལྟ་བུར་|like
ལྟར་|(Postp) like, as (+ ABS)
ལྟུང་|(INTR) to fall\nv1 ལྟུང་ v2 ལྷུང་ v3 ལྟུང་ v4 ལྟུང་
ལྷུང་|see ལྟུང་
ལྟེ་བ་|navel
ལྟོ་|food
ལྟོགས་གྲི་|hunger
ལྟོགས་པ་|hungry
སྟག་|tiger
སྟག་གི་རི་|(PN) Stag-gi-ri
སྟག་ཕྲུག་|tiger cub
སྟག་མོ་|tigress
སྟག་གཟིག་འོལ་མོ་|(PN) Stag-gzigs-ɣol-mo, a legendary country
སྟག་རི་གཉན་གཟིགས་|(PN) Stag-ri-gñan-gzigs
སྟན་|mat; seat
སྟེང་|top, surface
སྟེང་|(PN) Steṅ, name of a Tibetan dynasty
སྟེང་ཁང་|upper story
སྟེང་དུ་|1) (Postp) above, on(to) (+ GEN); 2) (Adv) up
སྟེང་ནས་|(Postp) from (+ GEN)
སྟེའུ་|axe
སྟེར་|(TR) 1) to allow (to + TERM); 2) to give\nv1 སྟེར་ v2 བསྟེར་ v3 བསྟེར་ v4 སྟེར་
བསྟེར་|see སྟེར་
བསྟེར་|see སྟེར་
སྟོང་|thousand
སྟོང་པ་ཉིད་|voidness
སྟོང་རྩན་|(PN) Stoṅ-rcan
སྟོད་|higher sphere
སྟོད་|(TR) to praise\nv1 སྟོད་ v2 བསྟོད་ v3 བསྟོད་ v4 སྟོད་
བསྟོད་|see སྟོད་
བསྟོད་|see སྟོད་
སྟོན་|(TR) 1) to teach, to explain; 2) to show, to display; ལུང་སྟོན་ to predict\nv1 སྟོན་ v2 བསྟན་ v3 བསྟན་ v4 སྟོན་
བསྟན་|see སྟོན་
བསྟན་|see སྟོན་
སྟོན་གྲལ་|feast-row
སྟོན་ཐོག་|harvest
སྟོན་པ་|teacher
སྟོན་མོ་|feast
སྟོབས་|strength
སྟོབས་ཀྱིས་|(Postp) due to, because of (+ GEN)
སྟོབས་ལྡན་|strong, powerful
སྟོར་|(INTR) to get lost
བརྟག་པ་|investigation
བརྟགས་|see རྟོག་
བརྟན་པ་|steadfast
བལྟ་|see ལྟ་
བལྟས་|see ལྟ་
བསྟན་|see སྟོན་
བསྟན་བཅོས་|treatise
བསྟན་པ་|(Buddhist) teaching
བསྟོད་|see སྟོད་

ཐ་ག་པ་|weaver
ཐ་ཆུངས་|1) the youngest; 2) youngest
ཐ་མ་|eventually
ཐག་ཆད་པ་|severed
ཐག་ཆོད་|(INTR) to stop
ཐགས་|texture
ཐང་|plain
ཐད་དུ་|(Postp) to, towards (+ GEN)
ཐབས་|means; stratagem
ཐམས་|see འཐམ་
ཐམས་ཅད་|1) (N) all; 2) (A) all
ཐར་|(INTR) to become free (from + DEL)
ཐ་རེ་ཐོ་རེ་|scatteredly
ཐར་རེ་ཐོར་རེ་|scatteredly
ཐར་ལམ་|path of release
ཐལ་སྒྲོ་|sack of dust
ཐལ་ལྕག་|a hand-slap
ཐལ་མོ་|palm of the hand
ཐལ་ཚུབ་|dust-whirl
ཐི་ཤོ་ལེགས་|(PN) Thi-śo-legs
ཐིམ་|(INTR) to disappear by being absorbed; to disappear
ཐུ་|(to be) malicious
ཐུ་བ་|coat-flap
ཐུག་|(INTR) to be about to (+ DAT)
ཐུགས་|(HON for སྙིང་ / ཡིད་) mind
ཐུགས་སྐྱོ་ཤས་|(HON for སྐྱོ་ཤས་) grief
ཐུགས་རྗེ་|(HON for སྙིང་རྗེ་) compassion
ཐུགས་རྗེ་ཅན་|compassionate
ཐུགས་ཉམས་|(HON for ཉམས་) mind, heart
ཐུགས་དམ་|(HON for ཡི་དམ་) 1) tutelary deity; 2) meditation
ཐུགས་གདོན་|(HON for གདོན་) demon
ཐུགས་བརྩེ་|(HON for བརྩེ་; INTR) to love
ཐུང་|(to be) short
ཐུབ་|(TR) 1) to match; 2) to have the command of; 3) to attain; (MOD) to be able, capable; can
ཐེ་ཚོམ་|doubt
ཐེག་པ་ཆེན་པོ་|Skt. mahāyana
ཐོག་|what is uppermost
ཐོག་ཏུ་|(Postp) on (+ ABS)
ཐོགས་|see འཐོགས་d
ཐོགས་|(INTR) to get stuck (in + DAT)
ཐོང་|see གཏོང་
ཐོད་|turban
ཐོན་|see འཐོན་
ཐོབ་|(TR) 1) to achieve, to attain; 2) to obtain
ཐོས་|(TR) to hear
མཐའ་|end
མཐུ་|1) strength; 2) spell
མཐུན་|(INTR) to agree; རྗེས་(སུ་)མཐུན་ to agree
མཐུར་|halter
མཐོ་|(to be) high
མཐོ་རིས་|heaven
མཐོང་|(TR) to see
འཐག་|(TR) to weave; ཐགས་འཐག་ (INTR) to weave\nv1 འཐག་ v2 བཏགས་ v3 བཏག་ v4 ཐོག་
བཏགས་|see འཐག་
བཏག་|see འཐག་
ཐོག་|see འཐག་
འཐབ་|(TR) to fight
འཐབ་ཡ་|adversary
འཐམ་|(INTR) to shut closely\nv1 འཐམ་ v2 ཐམས་ v3 འཐམ་ v4 འཐམ་
ཐམས་|see འཐམ་
འཐུང་|(TR) to drink\nv1 འཐུང་ v2 བཏུངས་ v3 བཏུང་ v4 འཐུང་
བཏུངས་|see འཐུང་
བཏུང་|see འཐུང་
འཐོགས་|(TR) to carry\nv1 འཐོགས་ v2 ཐོགས་ v3 འཐོགས་ v4 འཐོགས་
ཐོགས་|see འཐོགས་
འཐོན་|(INTR) to go out\nv1 འཐོན་ v2 ཐོན་ v3 འཐོན་ v4 ཐོན་
ཐོན་|see འཐོན་
ཐོན་|see འཐོན་
འཐོར་|(INTR) to be scattered

ད་|now
ད་ལྟ་|now
ད་ལྟར་|now
ད་སྟེ་|henceforth, from now on
ད་ལན་|the present
དག་པར་|really
དང་པོ་|first; at first, at the beginning
དང་བ་|(to be) pure
དད་|(INTR) to believe
དད་པ་|faithfulness
དམ་པ་|1) noble; 2) trustworthy
དར་|(INTR) to spread
དར་ཅིག་|a moment
དར་ཐང་|(PN) Dar-thaṅ, name of a plain
དར་ནག་|black silk
དལ་གྱིས་|gently
དལ་མེད་|without rest
དིང་ཁྲི་བཙན་པོ་|(PN) Diṅ-khri-bcan-po
དིར་རེ་བ་|buzzing
དུ་མ་|many
དུག་|poison
དུག་ཅན་|poisonous
དུད་འགྲོ་|animal
དུད་པ་|smoke
དུམ་བུ་|piece
དུར་|grave
དུར་ཁུང་|grave
དུས་|time
དུས་སུ་|(Postp) at the time of, when (+ GEN)
དེ་|1) (DEM) that; 2) (DET) the; 3) (3SG) he / she / it
དེ་སྐད་|those words
དེ་ཉིད་|the very same
དེ་ཉིད་དུ་|that very moment
དེ་སྙེད་|such
དེ་ལྟ་|so
དེ་ལྟ་བུ་|of that kind, such
དེ་ལྟར་|so, that way; thus
དེ་ལྟར་ན་|in that way
དེ་སྟེ་|now
དེ་དུས་|at that time
དེ་ནས་|thereafter
དེ་བས་|therefore
དེ་བཞིན་གཤེགས་པ་|Tathāgata
དེ་ཡང་|see དེའང་
དེ་རིང་|today
དེ་ཤོ་ལེགས་|(PN) De-śo-legs
དེ་སྲིད་|(COR) so long
དེའང་|namely
དེ་ཡང་|namely
དེར་|1) there; 2) then
དེས་ན་|for that reason
དོ་སྨད་|consort (?) and [her] children
དོགས་|(INTR) to fear (+ ERG)
དོང་|see འདོང་
དོན་|1) meaning, sense; 2) goal, purpose; 3) affair, concern; 4) welfare
དོན་འཁོར་མདའ་|(PN) Don-ɣkhor-mdaɣ
དོན་བསྡུ་|briefly
དྭགས་|bright
དྭགས་པོ་|(PN) Dwags-po, a historical region in Tibet
དྭངས་པ་|pure
དྲག་|expedient
དྲག་ཏུ་|vehemently
དྲག་པ་|noble
དྲག་པོ་|serious
དྲག་ཞན་|high and low
དྲང་པོར་|honestly
དྲང་སྲོང་|sage
དྲངས་|see འདྲེན་
དྲན་|(TR) to remember, to come to mind; to recall
དྲི་|fragrance
དྲི་མ་|impurities
དྲི་ཞིམ་|nice scent
དྲིལ་|see འདྲིལ་
དྲིས་|see འདྲི་
དྲུག་|six
དྲུག་ཅུ་|sixty
དྲུག་པོ་|a group of six
དྲུང་དུ་|(Postp) near to; to (+ GEN)
དྲུང་ན་|(Postp) under, close to (+ GEN / ABS)
དྲུང་ནས་|(Postp) from below (+ ABS)
དྲུང་པོ་|relatives
དྲེས་མ་|(PN) a grass species
དྲོངས་|see འདྲེན་
དྲོན་མོ་|warm
གདགས་ཁྲི་བཙན་པོ་|(PN) Gdags-khri-bcan-po
གདང་|(INTR) to open wide
གདན་|bolster, carpet
གདའ་|(HML for འདུག་; COP) to be there, to be
གདུང་བརྒྱུད་|(HON) lineage
གདུང་རབས་|(HON) generation; lineage
གདུང་|(INTR) 1) to feel pain, to be tormented; 2) to long (for + DAT)
གདུངས་|(INTR) 1) to feel pain, to be tormented; 2) to long (for + DAT)
གདེང་|(TR) to raise in despair\nv1 གདེང་ v2 གདེངས་ v3 གདེང་ v4 གདེང་
གདེངས་|see གདེང་
གདོན་མི་ཟ་བར་|undoubtedly, surely
བདག་|(1SG; HML for ང་) I
བདག་|master
བདག་པོ་|master
བདག་ཅག་|(1PL) we
བདུད་|demon
བདུད་མོ་སྟག་འདྲེན་|(PN) Bdud-mo-stag-ɣdren
བདུད་རིགས་|demon-race
བདུན་|seven
བདེ་|(to be) happy, peaceful
བདེ་སྐྱིད་|1) (INTR) to be happy; 2) happiness
བདེ་བ་|happiness
བདེ་བར་|easily
བདེན་|(to be) true
བདེན་པ་|1) true; 2) truth
མདངས་|brightness
མདའ་|arrow
མདའ་|downland, the lower part of a valley
མདུན་|front
མདུན་དུ་|(POSTP) in front of, before (+ GEN)
མདུན་སོ་|incisor (lit. front) tooth
མདོར་|in brief
འདམ་|swamp
འདམ་ཀ་ |choice
འདའ་|(INTR) 1) to pass over; 2) to pass away\nv1 འདའ་ v2 འདས་ v3 འདའ་ v4 འདའ་
འདས་|see འདའ་
འདར་|(INTR) to tremble
འདས་|see འདའ་
འདི་|(DEM) this
འདི་སྐད་|these words
འདི་སྐད་ཅེས་|these words
འདི་ལྟ་སྟེ་|in this way; namely
འདི་ལྟ་བུ་|like this, such as this
འདི་ལྟར་|so, in this manner; this way
འདི་འདྲ་|like this
འདིང་|(TR) to spread\nv1 འདིང་ v2 བཏིང་ v3 གདིང་ v4 ཐིངས་
བཏིང་|see འདིང་
གདིང་|see འདིང་
ཐིངས་|see འདིང་
འདུ་|(INTR) to gather\nv1 འདུ་ v2 འདུས་ v3 འདུ་ v4 འདུ་
འདུས་|see འདུ་
འདུ་ཤེས་ཅན་|thinking, lit. having the faculty of thinking
འདུག་|(INTR) 1) to lie (down), to sit (down), to be there; 2) to live; 3) to be
འདུལ་|(TR) to subdue\nv1 འདུལ་ v2 བཏུལ་ v3 གདུལ་ v4 ཐུལ་
བཏུལ་|see འདུལ་
གདུལ་|see འདུལ་
ཐུལ་|see འདུལ་
འདེག་ v2 བཏེག་ v3 གདེག་ v4 ཐེག་|(TR) to raise, to lift
འདེགས་ v2 བཏེག་ v3 གདེག་ v4 ཐེག་|(TR) to raise, to lift
