ka kha 	alphabet
tha ma 	eventually
thag chad pa 	severed
thag chod 	(INTR) to stop
thags 	texture
thang 	plain
thad du 	(Postp) to, towards (+ GEN)
thabs 	means; stratagem
thams 	see 'tham 
thams cad 	1) (N) all; 2) (A) all
thar 	(INTR) to become free (from + DEL)
tha({ra}){ re tho}({ra}){ re}	scatteredly
thar lam 	path of release
thal sgro 	sack of dust
thal lcag 	a hand-slap
thal mo 	palm of the hand
thal tshub 	dust-whirl
thi sho legs 	(PN) Thi-śo-legs
thim 	(INTR) to disappear by being absorbed; to disappear
thu 	(to be) malicious
thu ba 	coat-flap
thug 	(INTR) to be about to (+ DAT)
thugs 	(HON for {snying} / {yid}) mind
thugs skyo shas 	(HON for {skyo shas}) grief
thugs rje 	(HON for {snying rje}) compassion
thugs rje can 	compassionate
thugs nyams 	(HON for {nyams}) mind, heart
thugs dam 	(HON for {yi dam}) 1) tutelary deity; 2) meditation
thugs gdon 	(HON for {gdon}) demon
thugs brtse 	(HON for {brtse}; INTR) to love
thung 	(to be) short
thub 	(TR) 1) to match; 2) to have the command of; 3) to attain; (MOD) to be able, capable; can
the tshom 	doubt
theg pa chen po 	Skt. mahāyana
thog 	what is uppermost
thog tu 	(Postp) on (+ ABS)
thogs 	see 'thogs 
thogs 	(INTR) to get stuck (in + DAT)
thong 	see gtong 
thod 	turban
thon 	see 'thon 
thob 	(TR) 1) to achieve, to attain; 2) to obtain
thos 	(TR) to hear
mtha' 	end
mthu 	1) strength; 2) spell
mthun 	(INTR) to agree; {rjes}({su}){mthun} to agree
mthur 	halter
mtho 	(to be) high
mtho ris 	heaven
mthong 	(TR) to see
'thag  v2 {btags} v3 {btag} v4 {thog}	(TR) to weave; {thags 'thag} (INTR) to weave
'thab 	(TR) to fight
'thab ya 	adversary
'tham  v2 {thams}	(INTR) to shut closely
'thung  v2 {btungs} v3 {btung} v4 {'thung}	(TR) to drink
'thogs  v2 {thogs}	(TR) to carry
'thon  v2/v4 {thon}	(INTR) to go out
'thor 	(INTR) to be scattered

da 	now
da lta 	now
da ltar 	now
da ste 	henceforth, from now on
da lan 	the present
dag par 	really
dang po 	first; at first, at the beginning
dang ba 	(to be) pure
dad 	(INTR) to believe
dad pa 	faithfulness
dam pa 	1) noble; 2) trustworthy
dar 	(INTR) to spread
dar cig 	a moment
dar thang 	(PN) Dar-thaṅ, name of a plain
dar nag 	black silk
dal gyis 	gently
dal med 	without rest
ding khri btsan po 	(PN) Diṅ-khri-bcan-po
dir re ba 	buzzing
du ma 	many
dug 	poison
dug can 	poisonous
dud 'gro 	animal
dud pa 	smoke
dum bu 	piece
dur 	grave
dur khung 	grave
dus 	time
dus su 	(Postp) at the time of, when (+ GEN)
de 	1) (DEM) that; 2) (DET) the; 3) (3SG) he / she / it
de skad 	those words
de nyid 	the very same
de nyid du 	that very moment
de snyed 	such
de lta 	so
de lta bu 	of that kind, such
de ltar 	so, that way; thus
de ltar na 	in that way
de ste 	now
de dus 	at that time
de nas 	thereafter
de bas 	therefore
de bzhin gshegs pa 	Tathāgata
de yang 	see de'ang 
de ring 	today
de sho legs 	(PN) De-śo-legs
de srid 	(COR) so long
de'ang  / {de yang}	namely
der 	1) there; 2) then
des na 	for that reason
do smad 	consort (?) and \her\ children
dogs 	(INTR) to fear (+ ERG)
dong 	see 'dong 
don 	1) meaning, sense; 2) goal, purpose; 3) affair, concern; 4) welfare
don 'khor mda' 	(PN) Don-ɣkhor-mdaɣ
don bsdu 	briefly
dwags 	bright
dwags po 	(PN) Dwags-po, a historical region in Tibet
dwangs pa 	pure
drag 	expedient
drag tu 	vehemently
drag pa 	noble
drag po 	serious
drag zhan 	high and low
drang por 	honestly
drang srong 	sage
drangs 	see 'dren 
dran 	(TR) to remember, to come to mind; to recall
dri 	fragrance
dri ma 	impurities
dri zhim 	nice scent
dril 	see 'dril 
dris 	see 'dri 
drug 	six
drug cu 	sixty
drug po 	a group of six
drung du 	(Postp) near to; to (+ GEN)
drung na 	(Postp) under, close to (+ GEN / ABS)
drung nas 	(Postp) from below (+ ABS)
drung po 	relatives
dres ma 	(PN) a grass species
drongs 	see 'dren 
dron mo 	warm
gdags khri btsan po 	(PN) Gdags-khri-bcan-po
gdang 	(INTR) to open wide
gdan 	bolster, carpet
gda' 	(HML for {'dug}; COP) to be there, to be
gdung brgyud 	(HON) lineage
gdung rabs 	(HON) generation; lineage
gdung({sa}){}	(INTR) 1) to feel pain, to be tormented; 2) to long (for + DAT)
gdeng  v2 {gdengs}	(TR) to raise in despair
gdon mi za bar 	undoubtedly, surely
bdag 	(1SG; HML for {nga}) I
bdag ({po})	master
bdag cag 	(1PL) we
bdud 	demon
bdud mo stag 'dren 	(PN) Bdud-mo-stag-ɣdren
bdud rigs 	demon-race
bdun 	seven
bde 	(to be) happy, peaceful
bde skyid 	1) (INTR) to be happy; 2) happiness
bde ba 	happiness
bde bar 	easily
bden 	(to be) true
bden pa 	1) true; 2) truth
mdangs 	brightness
mda' 	arrow
mda' 	downland, the lower part of a valley
mdun 	front
mdun du 	(POSTP) in front of, before (+ GEN)
mdun so 	incisor (lit. front) tooth
mdor 	in brief
'dam 	swamp
'dam ka  	choice
'da'  v2 {'das}	(INTR) 1) to pass over; 2) to pass away
'dar 	(INTR) to tremble
'das 	see 'da' 
'di 	(DEM) this
'di skad ({ces})	these words
'di lta ste 	in this way; namely
'di lta bu 	like this, such as this
'di ltar 	so, in this manner; this way
'di 'dra 	like this
'ding  v2 {bting} v3 {gding} v4 {things}	(TR) to spread
'du  v2 {'dus}	(INTR) to gather
'du shes can 	thinking, lit. having the faculty of thinking
'dug 	(INTR) 1) to lie (down), to sit (down), to be there; 2) to live; 3) to be
'dul  v2 {btul} v3 {gdul} v4 {thul}	(TR) to subdue
'deg({sa}){} v2 {bteg} v3 {gdeg} v4 {theg}	(TR) to raise, to lift
'ded  v2 {ded}	(TR) to drive away
'debs  v2 {btab} v3 {gdab} v4 {thob}	1) to cast, throw; 2) to establish; {cho nges 'debs} to lament; {sa bon 'debs} to sow seeds; {so sgra 'debs} to whistle; {gsol ba 'debs} to submit a request
'dogs  v2 {btags} v3 {gdags} v4 {thogs}	(TR) to bind, to attach; {phan 'dogs} to render service
'dong  v2/v4 {dong}	(INTR) to go
'dod 	(TR) to wish; to desire; (MOD) to wish, want
'dod chags 	passion, lust
'dod pa 	passion
'dod yon 	desired goods
'don  v2 {bton} v3 {gdon} v4 {thon}	(TR) 1) to utter; 2) to obtain, to extract; 3) to put, to place out; {mgo 'don} to sustain; to take care; {mchi ma 'don} to shed tears
'dra 	(INTR) to be similar, to be like, to resemble (+ COM)
'dri  v2 {dris}	(TR) to ask
'dril  v2 {dril}	(TR) 1) to wrap up; 2) to summarise; {gcig tu 'dril} to unite
'dre  v2 {'dres}	(INTR) to be mixed with
'dren  v2 {drangs} v3 {drang} v4 {drongs}	(TR) 1) to pull; 2) to lead; {gdan 'dren} to invite
'dres 	see 'dre 
'dres pa 	mixture
'drongs 	(INTR) to be invited
rdal  v2/v3 {brdal} v4 {rdol}	(TR) to spread
rdig 	valuables (?)
rdugs 	(INTR) to be worn out
rdung  v2 {brdungs} v3 {brdung} v4 {rdungs}	(TR) to beat
rdul 	dust
rdebs  v2 {brdabs} v3 {brdab} 	(TR) 1) to throw down; 2) to stomp
rde'u  	pebble
rdo 	1) stone; 2) ore
rdo ba 	stone
ldag  v2 {bldags} v3 {bldag} v4 {ldog}	(TR) to lick
ldan 	(to be) possessed of, endowed with (+ COM)
lde 	(PN) Lde, name of a Tibetan dynasty
lde rgyal po 	(PN) Lde-rgyal-po
lde snol nam 	(PN) Lde-snol-nam
lde snol po 	(PN) Lde-snol-po
lde sprin btsan 	(PN) Lde-sprin-bcan
lde 'phrul nam gzhung btsan 	(PN) Lde-ɣphrul-nam-gźuṅ-bcan
lde tshab 	spare key
ldog  v2/v4 {log}	(INTR) to come back
sdar ma 	coward
sdig pa 	1) offence; 2) sin
sdug 	(to be) pretty, nice
sdug 	1) misery; 2) to be pained
sdug bsngal 	1) (to be) afflicted, pained; 2) misery, suffering, affliction
sdug pa 	dear
sdug po 	misery
sdug mad 	a truly miserable person
sdug sran 	hardiness
sdud  v2 {bsdus} v3 {bsdu} v4 {sdus}	(TR) 1) to add; 2) to collect; 3) to gather
sde 	class
sdeb  v2 {bsdebs} v3 {bsdeb} v4 {sdebs}	(TR) to join
sdod  v2 {bsdad} v4 {sdod}	(INTR) 1) to wait; 2) to stay, 3) to live
sdom  v2 {bsdams} v3 {bsdam} v4 {sdoms}	(TR) to bind, to fetter
sdom pa 	vow
brda 	sign
brdabs 	see rdebs 
brdal 	see rdal 
bldag 	see ldag 
bsdad 	see sdod 
bsdams 	see sdom 
bsdus 	see sdud 
bsdebs 	see sdeb 

na 	(INTR) to be ill
na chung 	girl
na bun 	mist
nag pa 	(to be) black
nag mo 	black
nags ma 	forest
nang 	the inside, interior
nang du 	(Postp) into, in (+ GEN)
nang na 	(Postp) among (+ GEN / ABS)
nang nas 	(Postp) from (+ GEN)
nang pa 	(PN) Naṅ-pa
nang({sa}){ par}	day after tomorrow
nad 	illness
nan tar 	very much
nam 	(INT / REL) when
nam mkha' 	sky
nam mkha' lding 	garuḍa-bird, lit. one soaring in the sky
nar nar 	continuously
nar ma 	continuous
nal 	incest
nal lu 	bastard child
nas 	barley
nu bo 	younger brother
nub 	night
nub mo 	evening
nus 	(MOD) to be able, capable; can
non 	(TR) to overcome, to suppress
nor 	1) wealth, goods; 2) cattle
nor can 	1) (A) wealthy; 2) (N) wealthy one
nor bdag 	wealthy man
nor bdag po 	wealth’s owner
nor ldan 	wealthy
nor bu 	jewel
nor med 	impoverished
nor yod 	wealthy
nor slongs 	source of wealth, possessions, lit. “wealth-raising”
gnag 	yak
gnang 	(HON for {ster}; TR) 1) to allow, to permit; 2) to give
gnangs nyin 	the day after tomorrow, the third day
gnam 	the sky
gnam ri srong btsan 	(PN) Gnam-ri-sroṅ-bcan
gnas 	1) (INTR) 1) to last; 2) to live; 3) to stay; 2) (N) place
gnod pa 	pain
mna' ma 	wife
mnar 	(INTR) to suffer, to be pained
mnal 	(HON; INTR) to sleep
rnang  v2 {brnangs}	{skad kyis rnang} to be unable to utter a word; lit. for words to choke
rnam 'gyur 	facial expression
rnam rtog 	disgust
rnam pa 	1) kind; 2) division
rnon po 	sharp
sna 	a kind
sna 	nose
sna tshogs 	all kinds (also {rnam pa sna tshogs})
snang 	(INTR) to appear
snad  v2/v3 {bsnad} v4 {snod}	(TR) to hurt
snam bu 	woollens
snun  v2/v3 {bsnun}	(TR) to stick in
snom  v2 {bsnams} v3 {bsnam} v4 {snoms}	(TR) to take
bsnams 	see snom 
bsnun 	see snun 

pa gu 	brick
pad mo 	lotus
po ta la 	(PN) Po-ta-la, name of a mountain
pre pe stan chung 	(PN) Pre-pe-stan-čhuṅ
dpag med 	countless, innumerable
dpa' 	(to be) courageous
dpal 	glory
dpe 	1) proverb; 2) example
dpog  v2 {dpags} v3 {dpag} v4 {dpogs}	(TR) to measure
dpogs 	see dpog 
dpyad 	see dpyod 
dpyod  v2/v3 {dpyad}	(TR) to examine
dpral ba 	forehead
spang 	meadow
spu 	hair
spu de gung rgyal 	(PN) Spu-de-guṅ-rgyal
spur 	(HON) body, corpse
spo bo 	(PN) Spo-bo, a historical region in Tibet
spong  v2 {spangs} v3 {spang} v4 {spongs}	(TR) to abandon
spongs 	see spong 
spyad 	see spyod 
spyan 	(HON for {mig}) eye
spyan ras gzigs 	(PN) Spyan-ras-gzigs
spyi bo 	crown of the head
spyin 	glue
spyug  v2/v4 {spyugs}	(TR) to banish
spyo  v2 {spyos}	(INTR) to scold
spyod  v2/v3 {spyad}	(TR) 1) to do, to practice, to act; 2) to use; 3) to enjoy
spyod pa 	behaviour, conduct
spyod tshul 	conduct
spyod lam 	mode of life
sprang 	1) (INTR) to beg; 2) (N) beggar
sprang po 	beggar
sprad 	see sprod 
sprin 	cloud
sprug  v2/v4 {sprugs}	(TR) to shake off
sprul pa 	1) transformation; 2) emanation; incarnation
spre 	monkey
spre'u 	monkey
spre'u phrug 	young of a monkey, monkey-child
sprel phrug 	see spre'u phrug 
spro ba 	joy
sprod  v2/v3 {sprad} v4 {sprod}	(TR) 1) to give, to return; 2) to make to meet, to bring together

pha 	father
pha ma 	1) parents; 2) father and mother
pha ming 	father and brother(s)
pha rol 	1) the other; 2) the outside
pha rol na 	(Postp) beyond (+ GEN)
pha shul 	patrimony
phag 	concealment
phag 	swine
phag tu 	secretly
phangs med 	abundant
phan 	1) benefit; 2) (to be) useful
phan bde 	1) happiness; 2) happiness and blessing
phan pa 	1) benefit; 2) (to be) beneficial
phu 	upland, upper part of a valley
phu dung 	sleeve
phu bo 	elder brother
phug 	see 'bugs 
phug ron 	dove
phung po 	heap
phun sum tshogs pa 	accomplishment (Skt. sampatti)
phul 	turret
phul 	see 'bul 
phul gang 	a handful
phul phyin 	victorious
pher 	(TR) to be able, to be able to bear
pho 	(A) male
pho nor 	man’s goods
pho bo 	elder brother
pho brang 	palace, castle
pho lha 	one of tutelary deities
phog 	see 'bogs 
phog 	see 'phog 
phya 	lot
phyag 	(HON for {lag pa}) hand
phyi ma 	later; next
phyi bzhin 	(Postp) after (+ GEN)
phyi rol 	outside
phying ba stag rtse 	(PN) Phyiṅ-ba-stag-rce, name of a castle
phying yul 	(PN) Phyiṅ-yul, name of a region in Central Tibet
phying lung 	(PN) Phyiṅ-luṅ
phyin 	(INTR) to arrive, to go
phyin chad 	(Postp) after (+ ABS)
phyin te lo shu sha 	(PN) Phyin-te-lo-śu-śa, a Tibetan transcription of the Chinese name 賓頭盧埵闍 Bin-tou-lu-duo-she, itself a transcription of Sanskrit Piṇḍoladhvaja (?; cf. Hahn 1996: 318)
phyir 	1) (Adv) 1) back; 2) again; 3) out, outside; 2) (Postp) 1) on account of, due to, because; for the sake of (+ GEN); 2) in order to (+ ABS)
phyir yang 	1) again; 2) afterwards
phyis 	later
phyug 	(to be) rich
phyugs 	cattle
phyung 	see 'byin 
phye 	flour
phye 	see 'byed 
phyed 	see 'byed 
phyed ka  	half
phyed ma 	half
phyogs 	1) direction; 2) side
phyogs la 	(Postp) towards (+ GEN)
phyogs su 	(Postp) towards (+ GEN)
phrag dog 	envy
phrag ({pa})	shoulder
phrad 	particle
phrad 	see 'phrad 
phrin 	message
phru gu 	child
phrogs 	see 'phrog 
'phags rgyal 	(PN) Ɣphags-rgyal, name of an Indian town (Skt. Ujjayinī)
'phags pa 	the Noble One (lit. Surpassing One)
'phangs 	see 'phen 
'pham pa 	despondent
'phur  v2 {phur}	(INTR) to fly
'phen  v2 {'phangs} v3 {'phang} v4 {'phong}	(TR) to throw
'phel  v2 {phel}	(INTR) to increase, to thrive
'pho  v2/v4 {'phos}	(INTR) to change; {tshe 'pho} to die, to be reborn
'phog  v2 {phog}	(TR) to hit
'phya  v2 {'phyas}	(INTR) to deride, to laugh
'phos 	see 'pho 
'phrad  v2 {phrad}	(TR) to meet with (+ COM)
'phrog  v2/v4 {phrogs} v3 {dbrog}	(TR) to take away, to rob; to deprive of

ba 	cow
ba ra bong 	cow, goat, and ass
ba lang 	ox
ba su mi tra 	(PN) Ba-su-mi-tra (Skt. Vasumitra)
bag ma 	bride
bang 	foot-race
bang mdzod 	magazine, treasury
bang so 	tomb, burial mound
bad sa la 	(PN) Bad-sa-la (Skt. Vatsa)
bab 	see 'bab 
babs 	see 'bab 
bar 	1) the middle; 2) middle sphere
bar 'ga' 	sometimes, once
bar chad 	danger
bar du 	(Postp) during, while (+ GEN)
bar la 	(Postp) in the meantime, until (+ ABS / GEN)
bal 	wool
bal po 	Nepalese
bal las 	spinning of wool
bu 	1) child; 2) son
bu ston rin po che 	(PN) Bu-ston Rin-po-čhe (1290–1364), a Tibetan Buddhist master
bu pho 	son
bu mo 	1) daughter; 2) girl
bu smad 	children and \their\ mother
bu tsha 	progeny, offspring, children
bug pa 	hole
bung ba 	bee
bud med 	woman
bong bu 	ass
bod 	(PN) Tibet
bod skad 	Tibetan language
bod pa 	Tibetan (man)
bod mo 	Tibetan (woman)
bod yig 	written Tibetan
bon 	(PN) Bon, an indigenous Tibetan religion
bon po 	a male adherent of the Bon religion
bor 	see 'bor 
bos 	see 'bod 
bya 	1) bird; 2) hen
bya 	see byed 
bya khri 	(PN) Bya-khri
bya ba 	1) deed, act, affairs; 2) (so-)called
bya mo 	hen
bya tshogs 	(PN) Bya-chogs, name of a forest
bya rog 	crow
byang 	north
byang chub 	enlightenment
byang chub sems dpa' 	Skt. bodhisattva
byams mgon 	protector of benevolence
byams pa 	1) kindness, love; 2) (TR) to love (+ DAT); 3) (PN) Byams-pa (Skt. Maitreya)
byas 	see byed 
byi 	rat
byi 	see 'byi 
byin 	blessing
byin 	see sbyin 
byi'u  / {bye'u} 	nestling
byis pa 	child
byung 	see 'byung 
bye 	see 'bye 
byed  v2 {byas} v3 {bya} v4 {byos}	(TR) 1) to do, to make, to commit; to prepare; 2) to speak; 3) to act as (+ ABS); 4) to determine; {khyim thab byed} to establish a family; {mchod pa byed} to make offerings; {gtam byed} to make a speech; {dbang byed} to rule (over + DAT); {mos gus byed} to pay respect; {gtso byed} to lead, to be most prominent; {bcol gtams byed} to entrust; {tshags byed} to save; {tshe'i dus byed} to die; {zhes bya ba} called; {so nam byed} to cultivate fields
bye'u 	see byi'u 
byon 	see 'byon 
byos 	see byed 
bra bo 	buckwheat
brag 	rock
brag srin mo 	rock-ogress
bran 	servant
bran bzangs 	(PN) Bran-bzaṅs
bram ze 	Brahmin
bral 	see 'bral 
brin pa 	in demand; precious
bris 	see 'bri 
brel 	(INTR) to be separated from, to be without
bres 	manger
bro ba 	taste
bros 	see 'bros 
bla 	sign, symbol
bla 	1) (to be) superior, better; 2) what is above
bla ma 	lama, teacher
blang dor 	attracting and repelling
blangs 	see len 
blun po 	(N) fool
blo 	mind, thought
blo gros 	1) intelligence, intellect; 2) understanding
blo ngan 	evil-minded
blo chung 	narrow-minded
blo 'dod 	greed
blo ldan 	intelligent, wise
blon che 	great councillor
blon po 	minister
dbang 	1) power; 2) (TR) to control, to own
dbang gis 	(Postp) perforce (+ GEN)
dbang po 	sense
dbang med 	powerless
dbu 	(HON for {mgo}) head
dbu skra 	(HON for {skra}) hair
dbugs 	breath
dbul phongs 	(to be) poor
dbus su 	(Postp) in the middle of (+ GEN)
dbyar ({ka})	summer
dbyig pa can 	(PN) Dbyig-pa-čan (Skt. Daṇḍin)
dbyings 	height
dbyug 	stick
dbyu({ga}){ gu}	stick
'bangs 	subject, servant
'bab  v2 {bab} / {babs}	(INTR) to come down, to descend (C); to fall (NC); {dus la 'bab} for the time to come
'ba' zhig 	1) alone, mere; 2) only
'bugs  v2 {phug} v3 {dbug} v4 {phug}({sa}){}	(TR) to bore
'bud  v2/v4 {phus} v3 {dbu}	(TR) to blow
'bum 	hundred thousand
'bul  v2/v4 {phul} v3 {dbul}	(HML for {sbyin} / {ster}; TR) to offer
'bogs  v2/v4 {phog} v3 {dbog}	(TR) to give
'bod  v2/v4 {bos}	(TR) to call, to summon
'bor  v2/v4 {bor}	(TR) to leave behind; to abandon; {dmod 'bor} to pronounce a prayer
'byi  v2 {byi}	(INTR) to fall off
'byin  v2/v4 {phyung} v3 {dbyung}	(TR) to cause to come forth / out, to take out
'byung  v2 {byung}	(INTR) 1) to occur, to appear; 2) to happen, to become; 3) to be born (to + DAT); 4) to come out; {rab tu 'byung ba} to join (the religion of Buddha; Skt. pra-√vraj “to go forth, to proceed; to become a monk”)
'byung po 	demon
'bye  v2 {bye}	(INTR) 1) to open; 2) to divide
'byed  v2 {phye} / {phyed} / {phyes} v3 {dbye} v4 {phyes}	(TR) to divide, to separate; to open; {shan 'byed} to differ
'byon  v2 {byon}	(HON; INTR) 1) to arrive; 2) to appear; 3) to set off
'byor ldan 	rich
'byor pa 	wealth
'brang snyan lde ru 	(PN) Ɣbraṅ-sñan-lde-ru
'bral  v2 {bral}	(INTR) to be deprived (of + COM); {srog dang 'bral} to die
'bri  v2/v4 {bris} v3 {bri}	(TR) to write
'bring po 	1) (N) the middle one; 2) (A) middle
'bru 	corn
'brug 	dragon
'brel 	(TR) to unite with, to be associated with (+ COM)
'brong zher legs 	(PN) Ɣbroṅ-źer-legs
'brong ru 	horn of a wild yak
'bros  v2 {bros}	(INTR) to flee
sbal pa 	frog
sbas 	see sbed 
sbed  v2 {sbas} v3 {sba} v4 {sbos}	(TR) to hide, to conceal
sbom po 	plump
sbyar 	see sbyor 
sbyin  v2/v4 {byin}	(TR) to give, to bestow, to offer
sbyor  v2/v3 {sbyar} v4 {sbyor}	(TR) to compare (with + COM); to join
sbra 	tent
sbrang rtsi 	honey
sbrul 	snake

ma 	mother
ma 	(NEG) not
ma thag ({tu})	immediately thereafter, right after (+ v2 or +ABS)
ma smad 	mother and \her\ children
ma 'ongs pa 	future
ma rig pa 	ignorance
ma lus par 	completely
mag pa 	son-in-law
mang  v2 {mangs}	(INTR) to be many
mang du 	many; a lot, much
mang po 	many; numerous
mangs 	see mang 
mar 	butter
mar pa 	(PN) Mar-pa
mi 	(NEG) not
mi 	man, human being
mi thod gad kha 	(PN) Mi-thod-gad-kha, a place name
mi brgyud 	lineage
mi snyan 	unpleasant
mi bdag 	false-master, lit. non-master
mi nor 	man’s wealth
mi la shes rab rgyal mtshan 	(PN) Mi-la-śes-rab-rgyal-mchan, the father of Mi-la-ras-pa
mi las 	labour
mig 	eye
ming 	name
ming sring 	brother and sister
min 	(NEG COP of {yin}) not to be
mi'u 	dwarf
mu khri btsan po 	(PN) Mu-khri-bcan-po
me 	fire
me khri btsan po 	(PN) Me-khri-bcan-po
me tog 	flower
me long 	mirror
me shing 	firewood
med 	(NEG COP of {yod}) 1) not to be, not to exist; 2) not to have
mo 	1) (3SG F) she; 2) (A) female
mo nor 	woman’s goods
mo ma 	diviner
mod 	(INTR) to be abundant, to abound
mos 	(INTR) to take pleasure in (+ DAT)
mos gus 	respect
mya ngan 	affliction, misery; trouble
mya ngan med 	(PN) Mya-ṅan-med (Skt. Aśoka)
mya ngan las 'das pa 	Skt. nirvāṇa
myang tsha dkar rgyan 	(PN) Myaṅ-cha-dkar-rgyan, Mi-la-ras-pa’s mother
myur du 	quickly
myur ba 	quick
myur bar 	quickly
myong  v2 {myangs} v3 {myang}	(TR) to experience
dmag 	army
dmag brgya pa 	(PN) Dmag-brgya-pa (Skt. Śātānīka)
dmag pa 	son-in-law
dmar po 	red
dmus long 	blind
dmus long dkon pa bkra 	(PN) Dmus-loṅ-dkon-pa-bkra
dmod 	prayer
dmyal ba 	hell
rmi  v2 {rmis}	(TR) to dream; {snyam rmi} to dream
rmi lam 	dream
rmu thag 	{rmu}-rope
rmo  v2/v4 {rmos}	(TR) to sow and plough
rmong  v2 {rmongs}	(INTR) to get confused
rmongs 	see rmong 
rmongs pa 	(N) ignorant
rmos 	see rmo 
sman 	medicine, herb
sman pa 	physician
smin 	ripe
smon 	(TR) to desire (+ DAT)
smyu gu 	reed-pen
smyug ma 	reed
smra  v2/v3 {smras} v4 {smros}	(TR) to speak; to say
smras 	see smra 
smre sngags 	lamentation
smros 	see smra 

tsam 	(DET) mere, only; as much as, about
tsam du 	1) as if, like; 2) like that
tsong kha 	(PN) Coṅ-kha, historical region east of the Kokonor Lake
tsong kha pa 	(PN) Coṅ-kha-pa, a renown Tibetan Buddhist teacher
gtsang ma 	clean
gtsug 	crown of the head
gtse  v2 {gtses}	(TR) to harm, to torment
gtses 	see gtse 
gtso bo 	the best, eminent one
btsan 	(PN) Bcan, name of a Tibetan dynasty
btsan thang gong ma 	(PN) Bcan-thaṅ-goṅ-ma, name of a plain
btsan po 	emperor in the Tibetan Empire
btsa'  v2 {btsas}	(INTR) to bring forth
btsal 	see 'tshol 
btsas 	see btsa' 
btsun pa 	respectable, noble
btsun mo 	queen
btson 	prisoner
btson ra 	prison
btsos 	see 'tshod 
rtsa 	1) foot (of a mountain etc.); 2) place
rtsa 	(PN) Rca, a place name
rtsar 	(Postp) before, in front of (+ GEN)
rtsal 	physical skills
rtsig  v2 {brtsigs} v3 {brtsig} v4 {rtsigs} 	(TR) to built, to erect
rtsig pa 	wall
rtsis 	divination
rtse  v2/v4 {rtses}	(INTR) to play
rtse ({mo})	summit
rtse'u 	thorn
rtsog pa 	dirty
rtsog rtsog pa 	completely nasty, messed
rtsod  v2 {brtsad}	(TR) to argue, to debate (about + DAT)
rtsod pa 	conflict
rtsom  v2 {brtsams} v3 {brtsam} v4 {rtsoms}	(TR) to plan, to commence
rtswa kha 	grass
stsal 	see stsol 
stsol  v2/v3 {stsal}	(HON) to give, to bestow; {bka' stsol} (HON) to speak, to order
brtsad 	see rtsod 
brtsams 	see rtsom 
brtsigs 	see rtsig 
brtse 	(INTR) to love
brtson 'grus 	effort; diligence

tsha 	hot
tsha 	see tshwa 
tsha le 	alum
tshags 	see s.v. byed 
tshang 	den
tshad 	(N) all
tshad med pa 	immeasurable
tshabs 	very great
tshal 	forest
tshal ba 	splinter
tshig 	word
tshim pa 	satisfied
tshugs 	(TR) to harm
tshugs 	see 'tshugs 
tshud 	see 'tshud 
tshur 	here, hither
tshul 	way, manner
tshul du 	(Postp) like ( + GEN)
tshe 	1) time; 2) life
tshe dang ldan pa 	elder, venerable (a title)
tshe 'dzugs 	she-goat
tshe srog 	life
tshes 	day
tshogs 	crowd, troop
tshogs 	see 'tshogs 
tshong 	trade
tshod 	the right amount / measure
tshon 	paint
tshor 	(TR) to recognise, to perceive
tshol 	see 'tshol 
tshol ba 	search
tshwa 	salt
mtshan 	1) (HON for {ming}) name; 2) characteristic mark, sign
mtshams su 	(Postp) between (+ ABS)
mtshar ba 	beautiful
mtsho 	lake
'tshang  v2 {sangs}	(INTR) to recover, to wake up
'tshal 	(TR) to wish; {phyag 'tshal} to pay homage
'tshugs  v2 {tshugs}	(INTR) to be settled / established
'tshud  v2 {tshud}	(INTR) to enter
'tshe  v2 {btses} v3 {btse}	(TR) to hurt
'tsho  v2/v4 {sos}	(INTR) to remain alive; to recover (from illness)
'tsho  v2 {bsos} v3 {bso} / {gso}	(TR) 1) to take care; 2) to tend; {srid 'tsho} to rule a dominion
'tshogs  v2/v4 {tshogs}	(INTR) to gather
'tshod  v2 {btsos} v3 {btso} v4 {tshos}	(TR) to cook, to roast, to brew
'tshol  v2/v3 {btsal} v4 {tshol}	(TR) 1) to get, to obtain; 2) to search

mdzangs 	wise
mdzad  v4 {mdzod}	(HON for {byed}; TR) to do; to act (as + ABS); {skyabs mdzad} to protect, to save; {gtso mdzad} to lead, to be most prominent; {brtson 'grus mdzad} to strain oneself
mdzad pa 	(HON) deed
mdza' bo 	lover
mdzub mo 	fore-finger
mdze 	leprosy
mdzes pa 	(PN) Mȷes-pa
mdzes se 	(PN) Mȷes-se
mdzo 	mȷo, a hybrid between yak and domestic cattle
mdzod 	cache, repository
mdzod 	see mdzad 
'dzad  v2 {zad}	(INTR) 1) to be consumed; to disappear; 2) to run out; {ma zad} not only
'dzam bu gling 	continent (Skt. Jambūdvīpa, name of the Indian continent in Buddhist cosmology)
'dzin  v2 {bzung} v3 {gzung} v4 {zungs}	(TR) 1) to seize, to grasp, to hold; to take over; 2) to take sth. (DAT) as (TERM); {yid la 'dzin} to take to \one’s\ mind
'dzugs  v2 {btsugs} v3 {gzugs} v4 {zugs}	(TR) to place
'dzem med 	one having no shame
rdza 	silt
rdzas 	object
rdzi'u 	herdsman
rdzu 'phrul 	magic tricks, miracles

wa ro 	fox cadaver

zhag 	day
zhang mda' 	(PN) Źaṅ-mdaɣ
zhang po 	maternal uncle
zhang zhung 	(PN) Źaṅ-źuṅ, name of an ancient polity
zhan pa 	ordinary
