ka kha 	alphabet
khre log 	1) (INTR) to roll one’s self; 2) (N) a rolling
khre log log 	an incessant continuous rolling
khro  v2 {khros}	1) (to be) angry, wrathful; 2) (N) rage
khro gnyer can 	(PN) Khro-gñer-čan (Skt. Bhṛkuṭī)
khros 	see khro 
mkha' lding 	see nam mkha' lding 
mkhar 	castle
mkhas pa 	1) skilled (in + DAT), wise, learned; 2) wise one
mkhas po  	a skilled male person; a scholar
mkhyen 	(HON for {shes}; TR) 1) to recognise, to discern, to realise; 2) to understand, to know
'khams  v2 {khams}	(INTR) to faint away
'khar ba 	staff
'khal  v2/v3 {bkal} v4 {khol}	(TR) to spin
'khur  v2 {bkur}	(TR) to carry
'khengs  v2 {khengs}	(INTR) to be full
'khor 	1) (INTR) 1) to turn round; 2) to circle; 2) (N) retinue, attendants
'khor ba 	cycle of transmigration / existence (Skt. saṃsāra)
'khor lo 	wheel
'khor los sgyur 	universal emperor
'khol  v2/v3 {bkol} v4 {khol}	(TR) to appoint, to use
'khyer  v2 {khyer}	(TR) to carry, to carry away
'khrug  v2 {'khrugs}	(INTR) to be disturbed
'khrug dus 	time for a duel
'khrung  v2 {'khrungs}	(HON for {skye}; INTR) to be born; {sku 'khrung} (HON) to be born
'khrungs 	see 'khrung 

ga re 	Where is \he / she / it\?
ga la 	(INT) to / for whom? where?
gang 	(INT) who? what? which?
gang 	(to be) full
gang ltar na yang 	be that as it may
gang du 	(INT) where? wither?
gang na 	(INT) where?
gang na ba 	whereabouts; lit. the where-place
gang nas 	where from?
gang ba 	full
gang yang 	any(thing), whatsoever
gangs 	snow-mountain
gangs dkar 	white snow-mountain
gangs can 	Tibet
gangs ri sog kha 	(PN) Gaṅs-ri-sog-kha
gad mo 	laugh
gar 	(INT) whither?
gal te 	if
gal te na 	perhaps
gu ru legs 	(PN) Gu-ru-legs
gum 	see 'gum 
gur 	tent
gus pa 	reverence
go 	place, spot
go 	(TR) to understand
go chod 	capable
go ba 	understanding
gong 	the above
gong na 	(Postp) before (+ GEN)
gong po 	clod
gong ma 	previous one
gon 	(TR) to put on
gos 	cloth, clothes
gos thung 	trousers
gos dar 	silk cloth(es)
gos ser can 	(PN) Gos-ser-čan, lit. dressed in yellow clothes, an epithet of Viṣṇu (Skt. pītāmbara)
gos hrul 	tattered robe
gau ta ma 	(PN) Gautama, the name of the Buddha (Skt. Gautama)
gyang 	pisé
gyis 	see bgyid 
gyur 	see 'gyur 
gyes 	see 'gye 
gyon 	(TR) to wear
gyos po 	father-in-law
grags 	see 'grags 
grangs med ({pa})	innumerable
gral 	place in the row
gral pa 	person sitting in a row
gri gum btsan po 	(PN) Gri-gum-bcan-po
gru gu 	(PN) Gru-gu, i.e. Western Turks
gru gsum 	triangular
grung 	(to be) wise
grung zhan 	weak-minded person
grub 	see 'grub 
grub pa 	accomplished one
gro 	wheat
grog mkhar ba 	(PN) Grog-mkhar-ba (Skt. Vālmīki)
grog ma 	ant
grogs 	friend, companion
grogs po  	a male friend
grogs mo  	female friend
grong khyer 	village, town
grong chog 	village rituals
grongs 	see 'grong 
gros nyes 	bad counsel
grwa 	1) corner; 2) school
gla rtsi 	musk
glang 	ox
glang chen 	elephant
glang po che 	elephant
glang bu 	calf
glang dmar 	red ox
glad 	head
gling 	island
glen pa 	(to be) stupid
dga' 	(TR) 1) to rejoice in, to be happy / delighted about (+ DAT); 2) to like
dga' ldan 	(PN) Dgaɣ-ldan heaven (Skt. Tuṣita)
dga' bshes 	spiritual advisor, < *{dga' ba'i bshes nyen} (Skt. kalyāṇamitra) friend to virtue, spiritual advisor
dgas 	(INTR) to be cracked
dgu 	nine
dgung 	sky
dgun 	winter
dgum 	see 'gums 
dge bsnyen 	lay practitioner
dge ba 	1) virtuous deed, virtue; 2) (to be) virtuous
dge legs 	prosperity
dge slong 	monk
dgongs 	(HON for {sems}; TR) to think, to reflect (on + DAT)
dgod 	(INTR) to laugh; {gad mo dgod} to laugh
dgon pa 	hermitage
dgon pa pa  	hermit
dgos 	(TR) to need; (MOD) to be necessary, have to, need
dgra 	enemy
dgra bcom pa 	Arhat (Skt. arhant)
dgra bo 	enemy
dgra lha 	one of tutelary deities
bgegs 	difficulty
bgo  v2 {bgos}	(TR) to put on
bgo ba 	clothes
bgod  v2/v4 {bgos} v3 {bgo}	(TR) to divide
bgos 	see bgo 
bgos 	see bgod 
bgyi 	see bgyid 
bgyid  v2 {bgyis} v3 {bgyi} v4 {gyis}	(HML for {byed}; TR) 1) to do; 2) to say; {mchod pa bgyid} to make offerings; {so nam bgyid} to cultivate fields
bgyis 	see bgyid 
bgrang  v2 {bgrangs} v3 {bgrang}	(TR) 1) to count; 2) to reckon, to consider
bgres pa 	(N) elder man; (A) elder
bgro  v2 {bgros}	(INTR) to confer, to discuss
mgul 	neck
mgo ({bo}){}	head
mgon po 	patron, protector
mgon med zas sbyin 	(PN) Mgon-med-zas-sbyin (Skt. Anāthapiṇḍada)
mgyogs 	(to be) quick
mgyogs po 	quick
'ga' 	a few, some
'gal 	(TR) to contradict (+ COM)
'gum  v2 {gum}	(INTR) to die
'gums  v2 {bkum} v3 {dgum} v4 {khums}	(TR) to kill
'gul 	(INTR) to quiver
'gems 	(TR) to rip, to destroy
'gel  v2 {bkal} v3 {dgal} v4 {khol}	(TR) to carry
'god  v2 {bkod} v3 {dgod} v4 {khod}	(TR) to furnish
'gor ti 	(PN) Ɣgor-ti, place name
'gyur  v2 {gyur}	(INTR) 1) to become; 2) to happen
'gye  v2 {gyes}	(INTR) to split
'gyel  v2 {gyel}	(INTR) to collapse, to fall
'grags  v2 {grags}	(INTR) to be called; to be known as (+ TERM)
'gran sems 	quarrelsome temper
'gram 	shore; side
'grub  v2 {grub}	(INTR) to complete
'gre 	(INTR) to roll one’s self
'gro  v2/v4 {song}	(INTR) 1) to go; 2) to pass (of time); 3) to become (+ TERM)
'gro ba 	1) a being; 2) existence
'grogs 	(INTR) to come together, to be accompanied (by + COM)
'grong  v2 {grongs}	(HON for {'chi}; INTR) to die
'grong  v2 {bkrongs} v3 {dgrongs}	(HON for {gsod}; TR) to kill
'grol  v2 {bkrol} v3 {dgrol} v4 {khrol} 	(TR) to untie
rgan po 	old man
rgan mo 	1) old woman; 2) old
rgal  v2/v3 {brgal} v4 {rgol}	(TR) to cross (+ DEL)
rgud 	(INTR) to grow weak, to decline
rgod 	vulture
rgod ma 	mare
rgol  v2/v3 {brgal} v4 {rgol}	(TR) to fight (against + DAT)
rgya 	(PN) China
rgya gar 	(PN) India
rgya gar skad 	Sanskrit, lit. “language of India”
rgya nag 	(PN) China
rgya mtsho 	ocean
rgyags 	provisions
rgyang ma 	distance
rgyang tshad 	(N) a while
rgan gzhon 	age
rgyab 	(N) the back
rgyab  v2/v3 {brgyab} v4 {rgyob}	(TR) to throw
rgyal 	(INTR) to be victorious (over + DEL)
rgyal khams 	kingdom, realm
rgyal po 	king
rgyal phran 	vassal
rgyal bu 	prince
rgyal byed 	(PN) Rgyal-byed (Skt. Jetṛ)
rgyal blon 	king and minister
rgyal mo 	queen
rgyal rabs dpag bsam ljon shing 	Rgyal rabs dpag bsam lǰon śiṅ, title of a historiographical work
rgyal sa 	throne
rgyal srid 	1) government, reign; 2) dominion
